# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0030130	CC	e	clathrin coat of trans-Golgi network vesicle	2/4	2/6920	2.5062928837155293e-07	6	2	0.00011842233875555876	CHC1, CLC1
GO:0030132	CC	e	clathrin coat of coated pit	2/4	2/6920	2.5062928837155293e-07	5	2	0.00011842233875555876	CHC1, CLC1
GO:0030118	CC	e	clathrin coat	2/4	7/6920	5.258144155069571e-06	4	2	0.001242236556635186	CHC1, CLC1
GO:0030125	CC	e	clathrin vesicle coat	2/4	7/6920	5.258144155069571e-06	5	2	0.001242236556635186	CHC1, CLC1
GO:0005905	CC	e	clathrin-coated pit	2/4	10/6920	1.1260934859661011e-05	3	2	0.002128316688475931	CHC1, CLC1
GO:0098797	CC	e	plasma membrane protein complex	2/4	15/6920	2.6250182166855894e-05	3	2	0.004134403691279803	CHC1, CLC1
GO:0030659	CC	e	cytoplasmic vesicle membrane	3/4	149/6920	3.8527000759450065e-05	5	3	0.004643367927524421	ATG8, CHC1, CLC1
GO:0012506	CC	e	vesicle membrane	3/4	150/6920	3.930893483618558e-05	4	3	0.004643367927524421	ATG8, CHC1, CLC1
GO:0030120	CC	e	vesicle coat	2/4	23/6920	6.315284500045593e-05	4	2	0.006631048725047872	CHC1, CLC1
GO:0030117	CC	e	membrane coat	2/4	36/6920	0.00015686361467506617	3	2	0.014823611586793753	CHC1, CLC1
GO:0000407	CC	e	phagophore assembly site	2/4	41/6920	0.0002039744124654872	2	2	0.017523256343625945	ATG4, ATG8
GO:0031410	CC	e	cytoplasmic vesicle	3/4	279/6920	0.00025168858626780873	6	3	0.01791222883796238	ATG8, CHC1, CLC1
GO:0097708	CC	e	intracellular vesicle	3/4	279/6920	0.00025168858626780873	5	3	0.01791222883796238	ATG8, CHC1, CLC1
GO:0031982	CC	e	vesicle	3/4	284/6920	0.0002653663531549982	4	3	0.01791222883796238	ATG8, CHC1, CLC1
GO:0071439	CC	e	clathrin complex	1/4	1/6920	0.0005780346820809249	3	1	0.03414017341040462	CHC1
GO:0033110	CC	e	Cvt vesicle membrane	1/4	1/6920	0.0005780346820809249	6	1	0.03414017341040462	ATG8
