# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005667	CC	e	transcription regulator complex	49/125	104/6920	5.913220609057227e-61	2	49	5.587993475559079e-58	BDP1, BRF1, CCL1, HAP2, HAP3, HAP4, HAP5, KIN28, RAD3, RRN10, RRN11, RRN5, RRN6, RRN7, RRN9, SPT15, SSL1, SSL2, STB1, TAF1, TAF10, TAF11, TAF12, TAF13, TAF14, TAF2, TAF3, TAF4, TAF5, TAF6, TAF7, TAF8, TAF9, TFA1, TFA2, TFB1, TFB2, TFB3, TFB4, TFC1, TFC3, TFC4, TFC6, TFC7, TFC8, TFG1, TFG2, TOA1, TOA2
GO:0000123	CC	e	histone acetyltransferase complex	37/125	46/6920	9.06774241994296e-59	6	37	4.284508293423048e-56	ACT1, ADA2, AHC1, ARP4, CHD1, EAF1, EAF3, EAF5, EAF6, EPL1, ESA1, GCN5, HAT1, HAT2, HFI1, HIF1, NGG1, NTO1, SAS3, SGF29, SGF73, SPT20, SPT3, SPT7, SPT8, SWC4, TAF10, TAF12, TAF14, TAF5, TAF6, TAF9, TRA1, UBP8, YAF9, YNG1, YNG2
GO:0032991	CC	e	protein-containing complex	121/125	2176/6920	3.571976498328135e-56	1	121	1.1251725969733626e-53	ACT1, ADA2, AHC1, ARP4, ASH1, BDP1, BRF1, CAF130, CAF16, CAF4, CAF40, CCL1, CCR4, CDC36, CDC39, CHD1, CPR1, CTI6, DEP1, EAF1, EAF3, EAF5, EAF6, EPL1, ESA1, GCN5, HAP2, HAP3, HAP4, HAP5, HAT1, HAT2, HDA1, HDA2, HDA3, HFI1, HIF1, HOS2, HOS4, HST1, KIN28, MOT2, NGG1, NOT3, NOT5, NTO1, PHO23, POP2, RAD3, RCO1, RFM1, RPD3, RRN10, RRN11, RRN5, RRN6, RRN7, RRN9, RXT2, RXT3, SAP30, SAS3, SDS3, SET3, SGF29, SGF73, SIF2, SIN3, SNT1, SPT15, SPT20, SPT3, SPT7, SPT8, SRB8, SSL1, SSL2, SSN2, SSN3, SSN8, STB1, STB2, SUA7, SWC4, TAF1, TAF10, TAF11, TAF12, TAF13, TAF14, TAF2, TAF3, TAF4, TAF5, TAF6, TAF7, TAF8, TAF9, TFA1, TFA2, TFB1, TFB2, TFB3, TFB4, TFC1, TFC3, TFC4, TFC6, TFC7, TFC8, TFG1, TFG2, TOA1, TOA2, TRA1, UBP8, UME1, UME6, YAF9, YNG1, YNG2
GO:0031248	CC	e	protein acetyltransferase complex	37/125	54/6920	3.5103195217989926e-54	5	37	8.293129870250119e-52	ACT1, ADA2, AHC1, ARP4, CHD1, EAF1, EAF3, EAF5, EAF6, EPL1, ESA1, GCN5, HAT1, HAT2, HFI1, HIF1, NGG1, NTO1, SAS3, SGF29, SGF73, SPT20, SPT3, SPT7, SPT8, SWC4, TAF10, TAF12, TAF14, TAF5, TAF6, TAF9, TRA1, UBP8, YAF9, YNG1, YNG2
GO:1902493	CC	e	acetyltransferase complex	37/125	59/6920	6.26734122417927e-52	4	37	1.1845274913698821e-49	ACT1, ADA2, AHC1, ARP4, CHD1, EAF1, EAF3, EAF5, EAF6, EPL1, ESA1, GCN5, HAT1, HAT2, HFI1, HIF1, NGG1, NTO1, SAS3, SGF29, SGF73, SPT20, SPT3, SPT7, SPT8, SWC4, TAF10, TAF12, TAF14, TAF5, TAF6, TAF9, TRA1, UBP8, YAF9, YNG1, YNG2
GO:0005634	CC	e	nucleus	119/125	2331/6920	3.4153017936319657e-49	5	119	5.379100324970346e-47	ADA2, AHC1, ARP4, ASH1, BDP1, BRF1, CAF120, CAF130, CAF16, CAF40, CCL1, CCR4, CDC36, CDC39, CHD1, CPR1, CTI6, DEP1, EAF1, EAF3, EAF5, EAF6, EPL1, ESA1, GCN5, HAP2, HAP3, HAP4, HAP5, HAT1, HAT2, HDA1, HDA2, HDA3, HFI1, HIF1, HOS2, HST1, KIN28, MOT2, NGG1, NOT3, NOT5, NTO1, PHO23, POP2, RAD3, RCO1, RFM1, RPD3, RRN10, RRN11, RRN3, RRN5, RRN6, RRN7, RRN9, RXT2, RXT3, SAP30, SAS3, SDS3, SGF29, SGF73, SIF2, SIN3, SNT1, SPT15, SPT20, SPT3, SPT7, SPT8, SRB8, SSL1, SSL2, SSN2, SSN3, SSN8, STB1, SUA7, SUM1, SWC4, TAF1, TAF10, TAF11, TAF12, TAF13, TAF14, TAF2, TAF3, TAF4, TAF5, TAF6, TAF7, TAF8, TAF9, TFA1, TFA2, TFB1, TFB2, TFB3, TFB4, TFC1, TFC3, TFC4, TFC6, TFC7, TFC8, TFG1, TFG2, TOA1, TOA2, TRA1, UBP8, UME1, UME6, YAF9, YNG1, YNG2
GO:0140513	CC	e	nuclear protein-containing complex	79/125	707/6920	4.379673437848926e-48	2	79	5.91255914109605e-46	ACT1, ARP4, ASH1, CCL1, CCR4, CPR1, CTI6, DEP1, EAF3, HAP2, HAP3, HAP4, HAP5, HAT2, HDA1, HDA2, HDA3, HOS2, HOS4, HST1, KIN28, PHO23, RAD3, RCO1, RFM1, RPD3, RRN10, RRN11, RRN5, RRN6, RRN7, RRN9, RXT2, RXT3, SAP30, SDS3, SET3, SGF73, SIF2, SIN3, SNT1, SPT15, SRB8, SSL1, SSL2, SSN2, SSN3, SSN8, STB1, STB2, SWC4, TAF1, TAF10, TAF11, TAF12, TAF13, TAF14, TAF2, TAF3, TAF4, TAF5, TAF6, TAF7, TAF8, TAF9, TFA1, TFA2, TFB1, TFB2, TFB3, TFB4, TFG1, TFG2, TOA1, TOA2, UBP8, UME1, UME6, YAF9
GO:0090575	CC	e	RNA polymerase II transcription regulator complex	35/125	74/6920	5.189000413300682e-43	3	35	6.12950673821143e-41	CCL1, HAP2, HAP3, HAP4, HAP5, KIN28, RAD3, SPT15, SSL1, SSL2, STB1, TAF1, TAF10, TAF11, TAF12, TAF13, TAF14, TAF2, TAF3, TAF4, TAF5, TAF6, TAF7, TAF8, TAF9, TFA1, TFA2, TFB1, TFB2, TFB3, TFB4, TFG1, TFG2, TOA1, TOA2
GO:0000118	CC	e	histone deacetylase complex	32/125	56/6920	7.256530793492151e-43	3	32	7.619357333166758e-41	ACT1, ARP4, ASH1, CPR1, CTI6, DEP1, EAF3, HAT2, HDA1, HDA2, HDA3, HOS2, HOS4, HST1, PHO23, RCO1, RFM1, RPD3, RXT2, RXT3, SAP30, SDS3, SET3, SIF2, SIN3, SNT1, STB1, STB2, SWC4, UME1, UME6, YAF9
GO:1902494	CC	e	catalytic complex	73/125	851/6920	2.3223568225851884e-35	2	73	2.194627197343003e-33	ACT1, ADA2, AHC1, ARP4, ASH1, CCL1, CHD1, CPR1, CTI6, DEP1, EAF1, EAF3, EAF5, EAF6, EPL1, ESA1, GCN5, HAT1, HAT2, HDA1, HDA2, HDA3, HFI1, HIF1, HOS2, HOS4, HST1, KIN28, NGG1, NTO1, PHO23, RAD3, RCO1, RFM1, RPD3, RXT2, RXT3, SAP30, SAS3, SDS3, SET3, SGF29, SGF73, SIF2, SIN3, SNT1, SPT20, SPT3, SPT7, SPT8, SSL1, SSL2, SSN3, STB1, STB2, SWC4, TAF10, TAF12, TAF14, TAF5, TAF6, TAF9, TFB1, TFB2, TFB3, TFB4, TRA1, UBP8, UME1, UME6, YAF9, YNG1, YNG2
