# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000993	MF	e	RNA polymerase II complex binding	8/13	23/6920	4.81159175634348e-18	6	8	1.2447587873660583e-14	CDC73, CTR9, LEO1, PAF1, RTF1, SPN1, SPT4, SPT5
GO:0070063	MF	e	RNA polymerase binding	8/13	28/6920	3.040258688520142e-17	4	8	2.6217164090672026e-14	CDC73, CTR9, LEO1, PAF1, RTF1, SPN1, SPT4, SPT5
GO:0043175	MF	e	RNA polymerase core enzyme binding	8/13	28/6920	3.040258688520142e-17	5	8	2.6217164090672026e-14	CDC73, CTR9, LEO1, PAF1, RTF1, SPN1, SPT4, SPT5
GO:0001098	MF	e	basal transcription machinery binding	8/13	32/6920	1.026219103780338e-16	3	8	5.3096576429594685e-14	CDC73, CTR9, LEO1, PAF1, RTF1, SPN1, SPT4, SPT5
GO:0001099	MF	e	basal RNA polymerase II transcription machinery binding	8/13	32/6920	1.026219103780338e-16	4	8	5.3096576429594685e-14	CDC73, CTR9, LEO1, PAF1, RTF1, SPN1, SPT4, SPT5
GO:0099122	MF	e	RNA polymerase II C-terminal domain binding	5/13	6/6920	5.842374611463256e-14	7	5	2.1591747314079203e-11	CDC73, CTR9, LEO1, PAF1, RTF1
GO:1990269	MF	e	RNA polymerase II C-terminal domain phosphoserine binding	5/13	6/6920	5.842374611463256e-14	8	5	2.1591747314079203e-11	CDC73, CTR9, LEO1, PAF1, RTF1
GO:0050815	MF	e	phosphoserine residue binding	5/13	9/6920	1.223352891818387e-12	5	5	3.516459923482408e-10	CDC73, CTR9, LEO1, PAF1, RTF1
GO:0045309	MF	e	protein phosphorylated amino acid binding	5/13	9/6920	1.223352891818387e-12	4	5	3.516459923482408e-10	CDC73, CTR9, LEO1, PAF1, RTF1
GO:0051219	MF	e	phosphoprotein binding	5/13	12/6920	7.667417002718453e-12	3	5	1.9835607786032636e-09	CDC73, CTR9, LEO1, PAF1, RTF1
GO:0019899	MF	e	enzyme binding	8/13	166/6920	1.0774682827332642e-10	3	8	2.5340094976645043e-08	CDC73, CTR9, LEO1, PAF1, RTF1, SPN1, SPT4, SPT5
GO:0005515	MF	e	protein binding	11/13	807/6920	3.186767755451155e-09	2	11	6.870140152793448e-07	CDC73, CHD1, CTR9, LEO1, PAF1, RTF1, SPN1, SPT16, SPT4, SPT5, SPT6
GO:0003682	MF	e	chromatin binding	6/13	157/6920	1.865662249608379e-07	2	6	3.7126678767206744e-05	CDC73, CHD1, PAF1, SPN1, SPT16, SPT6
GO:0042393	MF	e	histone binding	4/13	44/6920	9.751935775929776e-07	3	4	0.00018020184180235949	CHD1, SPT16, SPT5, SPT6
GO:0008134	MF	e	transcription factor binding	4/13	73/6920	7.585343713868694e-06	3	4	0.0013082189458518874	CTR9, LEO1, SPN1, SPT5
GO:0061629	MF	e	RNA polymerase II-specific DNA-binding transcription factor binding	3/13	41/6920	5.299396581030251e-05	5	3	0.008568461846953286	CTR9, LEO1, SPN1
GO:0140297	MF	e	DNA-binding transcription factor binding	3/13	47/6920	8.008558609683654e-05	4	3	0.012187141837206832	CTR9, LEO1, SPN1
