# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000480	BP	e	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/6	34/6920	1.2599515716296544e-11	10	5	4.524177740703809e-08	DIP2, PWP2, UTP13, UTP18, UTP6
GO:0000472	BP	e	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/6	37/6920	1.973038700699437e-11	10	5	4.524177740703809e-08	DIP2, PWP2, UTP13, UTP18, UTP6
GO:0000967	BP	e	rRNA 5'-end processing	5/6	40/6920	2.977318180888974e-11	9	5	4.551327059185612e-08	DIP2, PWP2, UTP13, UTP18, UTP6
GO:0000447	BP	e	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/6	46/6920	6.19780815915593e-11	10	5	7.105787054472274e-08	DIP2, PWP2, UTP13, UTP18, UTP6
GO:0000479	BP	e	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/6	61/6920	2.684995939972491e-10	9	5	2.462678276142769e-07	DIP2, PWP2, UTP13, UTP18, UTP6
GO:0000966	BP	e	RNA 5'-end processing	5/6	67/6920	4.355560324961226e-10	5	5	3.32909994171203e-07	DIP2, PWP2, UTP13, UTP18, UTP6
GO:0042254	BP	e	ribosome biogenesis	6/6	201/6920	5.58176682078765e-10	5	6	3.656854662876023e-07	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0022613	BP	e	ribonucleoprotein complex biogenesis	6/6	242/6920	1.722153770372223e-09	4	6	9.872246488658768e-07	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0044085	BP	e	cellular component biogenesis	6/6	270/6920	3.3434488435156324e-09	3	6	1.7036729329291879e-06	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0006364	BP	e	rRNA processing	6/6	368/6920	2.1757095298240908e-08	8	6	9.977803903773282e-06	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0016072	BP	e	rRNA metabolic process	6/6	428/6920	5.416035093164612e-08	7	6	2.257994267022992e-05	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0000462	BP	e	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4/6	70/6920	1.4187907761051486e-07	10	4	5.422145416015176e-05	DIP2, PWP2, UTP13, UTP6
GO:0030490	BP	e	maturation of SSU-rRNA	4/6	85/6920	3.1221811986726457e-07	9	4	0.00011014094597779042	DIP2, PWP2, UTP13, UTP6
GO:0006396	BP	e	RNA processing	6/6	687/6920	9.387234713046064e-07	4	6	0.0003074989885287804	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0016070	BP	e	RNA metabolic process	6/6	1035/6920	1.105711610423312e-05	6	6	0.0033805289636008725	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
GO:0090304	BP	e	nucleic acid metabolic process	6/6	1452/6920	8.464719710343613e-05	5	6	0.02426200286977238	DIP2, PWP2, UTP13, UTP18, UTP21, UTP6
