# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0070304	BP	e	positive regulation of stress-activated protein kinase signaling cascade	3/7	4/6920	2.5349004170514314e-09	8	3	5.812526656298932e-06	HOS2, SIF2, SNT1
GO:0032874	BP	e	positive regulation of stress-activated MAPK cascade	3/7	4/6920	2.5349004170514314e-09	9	3	5.812526656298932e-06	HOS2, SIF2, SNT1
GO:0040020	BP	e	regulation of meiotic nuclear division	4/7	31/6920	1.1428356558410194e-08	7	4	1.4518712862993479e-05	CPR1, HOS2, SET3, SIF2
GO:0043410	BP	e	positive regulation of MAPK cascade	3/7	6/6920	1.2663508820753143e-08	8	3	1.4518712862993479e-05	HOS2, SIF2, SNT1
GO:0070302	BP	e	regulation of stress-activated protein kinase signaling cascade	3/7	8/6920	3.5427064921749145e-08	7	3	2.707808662185693e-05	HOS2, SIF2, SNT1
GO:0032872	BP	e	regulation of stress-activated MAPK cascade	3/7	8/6920	3.5427064921749145e-08	8	3	2.707808662185693e-05	HOS2, SIF2, SNT1
GO:0051445	BP	e	regulation of meiotic cell cycle	4/7	43/6920	4.4636621619607095e-08	5	4	2.924336382107402e-05	CPR1, HOS2, SET3, SIF2
GO:0051783	BP	e	regulation of nuclear division	4/7	69/6920	3.0986022290923286e-07	6	4	0.00017762737278271773	CPR1, HOS2, SET3, SIF2
GO:0045835	BP	e	negative regulation of meiotic nuclear division	3/7	19/6920	6.100939514767285e-07	8	3	0.0003108767623858086	HOS2, SET3, SIF2
GO:0043408	BP	e	regulation of MAPK cascade	3/7	21/6920	8.36656602425668e-07	7	3	0.00038369071787241137	HOS2, SIF2, SNT1
GO:2000241	BP	e	regulation of reproductive process	4/7	101/6920	1.4471271729719396e-06	3	4	0.000603320474113574	CPR1, HOS2, SET3, SIF2
GO:0051447	BP	e	negative regulation of meiotic cell cycle	3/7	26/6920	1.6320193791167359e-06	6	3	0.0006237034060524459	HOS2, SET3, SIF2
GO:1902533	BP	e	positive regulation of intracellular signal transduction	3/7	30/6920	2.544033299679872e-06	7	3	0.0008607566827446623	HOS2, SIF2, SNT1
GO:0009967	BP	e	positive regulation of signal transduction	3/7	31/6920	2.8153838293000295e-06	6	3	0.0008607566827446623	HOS2, SIF2, SNT1
GO:0010647	BP	e	positive regulation of cell communication	3/7	31/6920	2.8153838293000295e-06	5	3	0.0008607566827446623	HOS2, SIF2, SNT1
GO:0023056	BP	e	positive regulation of signaling	3/7	32/6920	3.1052797667989814e-06	4	3	0.0008900508131587581	HOS2, SIF2, SNT1
GO:0006325	BP	e	chromatin organization	5/7	324/6920	4.2417271960588344e-06	4	5	0.001144268289477989	HOS2, HOS4, HST1, SET3, SIF2
GO:2000242	BP	e	negative regulation of reproductive process	3/7	37/6920	4.853952662334051e-06	4	3	0.0012366792727479977	HOS2, SET3, SIF2
GO:0051784	BP	e	negative regulation of nuclear division	3/7	44/6920	8.248417714279344e-06	7	3	0.0019909075598781617	HOS2, SET3, SIF2
GO:0048584	BP	e	positive regulation of response to stimulus	3/7	52/6920	1.3716102237655273e-05	4	3	0.0031451022430943544	HOS2, SIF2, SNT1
GO:0080135	BP	e	regulation of cellular response to stress	3/7	62/6920	2.3370456404456913e-05	5	3	0.005103662527182829	HOS2, SIF2, SNT1
GO:0080134	BP	e	regulation of response to stress	3/7	70/6920	3.370816124992525e-05	4	3	0.00702661943146169	HOS2, SIF2, SNT1
GO:0033043	BP	e	regulation of organelle organization	4/7	254/6920	5.686689374762999e-05	5	4	0.01133876411854918	CPR1, HOS2, SET3, SIF2
GO:0006338	BP	e	chromatin remodeling	4/7	259/6920	6.139729850239704e-05	5	4	0.011608449930795817	HOS2, HOS4, HST1, SET3
GO:0010564	BP	e	regulation of cell cycle process	4/7	261/6920	6.328199918663223e-05	5	4	0.011608449930795817	CPR1, HOS2, SET3, SIF2
GO:0010639	BP	e	negative regulation of organelle organization	3/7	88/6920	6.704492302625416e-05	6	3	0.011825692961476984	HOS2, SET3, SIF2
GO:0006355	BP	e	regulation of DNA-templated transcription	5/7	581/6920	7.469313805409925e-05	9	5	0.012233668968432114	HOS2, HST1, SET3, SIF2, SNT1
GO:2001141	BP	e	regulation of RNA biosynthetic process	5/7	581/6920	7.469313805409925e-05	8	5	0.012233668968432114	HOS2, HST1, SET3, SIF2, SNT1
GO:0051726	BP	e	regulation of cell cycle	4/7	298/6920	0.00010643615265687103	4	4	0.01683159296842795	CPR1, HOS2, SET3, SIF2
GO:1902531	BP	e	regulation of intracellular signal transduction	3/7	106/6920	0.00011694325765459529	6	3	0.01741112447599145	HOS2, SIF2, SNT1
GO:0051252	BP	e	regulation of RNA metabolic process	5/7	638/6920	0.00011769403810635302	7	5	0.01741112447599145	HOS2, HST1, SET3, SIF2, SNT1
GO:0051129	BP	e	negative regulation of cellular component organization	3/7	120/6920	0.00016919756471857905	5	3	0.02424812599373136	HOS2, SET3, SIF2
GO:0048522	BP	e	positive regulation of cellular process	5/7	717/6920	0.000207026369175037	4	5	0.027638967859928885	CPR1, HOS2, SET3, SIF2, SNT1
GO:0040029	BP	e	epigenetic regulation of gene expression	3/7	130/6920	0.00021459665560725856	8	3	0.027638967859928885	HOS2, HST1, SET3
GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	5/7	725/6920	0.00021841034629792018	6	5	0.027638967859928885	HOS2, HST1, SET3, SIF2, SNT1
GO:0010646	BP	e	regulation of cell communication	3/7	132/6920	0.00022453678641512812	4	3	0.027638967859928885	HOS2, SIF2, SNT1
GO:0009966	BP	e	regulation of signal transduction	3/7	132/6920	0.00022453678641512812	5	3	0.027638967859928885	HOS2, SIF2, SNT1
GO:0023051	BP	e	regulation of signaling	3/7	133/6920	0.00022961765098539086	3	3	0.027638967859928885	HOS2, SIF2, SNT1
GO:0010948	BP	e	negative regulation of cell cycle process	3/7	135/6920	0.00024000346781578028	6	3	0.027638967859928885	HOS2, SET3, SIF2
GO:0048518	BP	e	positive regulation of biological process	5/7	740/6920	0.0002410725500211852	3	5	0.027638967859928885	CPR1, HOS2, SET3, SIF2, SNT1
GO:0045786	BP	e	negative regulation of cell cycle	3/7	139/6920	0.0002616853310185718	5	3	0.02927046165978464	HOS2, SET3, SIF2
GO:0051128	BP	e	regulation of cellular component organization	4/7	406/6920	0.000354626078767937	4	4	0.03872179041023236	CPR1, HOS2, SET3, SIF2
