YMR056C	YNR056C
YBR085W	YBR217W
YBR085W	YHR002W
YBR085W	YDL059C
YBR085W	YML058W
YFL056C	YNL201C
YNL141W	YBR280C
YNL141W	YKL086W
YHR047C	YLR148W
YMR072W	YOL004W
YCR088W	YNL020C
YCR088W	YDL029W
YCR088W	YJR065C
YCR088W	YDR342C
YCR088W	YMR109W
YCR088W	YIL095W
YCR088W	YDR388W
YCR088W	YDR129C
YCR088W	YOR367W
YCR088W	YNL138W
YCR088W	YCR084C
YLR131C	YPR086W
YLR131C	YNL157W
YLR304C	YNL192W
YLR304C	YOR005C
YLR304C	YIL007C
YAL054C	YLR049C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YPL169C
YOR128C	YML064C
YOR128C	YBR134W
YOR128C	YMR323W
YOR128C	YPR085C
YMR083W	YLR080W
YMR083W	YML058W
YDR216W	YDL029W
YDR216W	YDL145C
YDR216W	YGR252W
YDR216W	YGR123C
YDR216W	YPR086W
YLR227C	YOR089C
YER017C	YBR034C
YDR085C	YPL242C
YFL055W	YOR076C
YDR214W	YBR217W
YDR214W	YKL011C
YDR214W	YDL101C
YDR214W	YJL030W
YDR214W	YDL200C
YDR214W	YDL059C
YLR109W	YKL011C
YLR109W	YDL200C
YLR109W	YMR022W
YLR109W	YNL312W
YLR109W	YLR340W
YLR109W	YDR369C
YLR109W	YJL141C
YMR092C	YLR102C
YMR092C	YLL050C
YMR092C	YNL138W
YDR264C	YPL242C
YDR264C	YKL178C
YNL148C	YML085C
YPL227C	YBR036C
YPL227C	YIL097W
YPL227C	YJL026W
YPL227C	YHR140W
YPL227C	YBR183W
YPL227C	YPL264C
YBR243C	YML075C
YNL219C	YGR149W
YFL050C	YLL061W
YFL050C	YLR453C
YBR211C	YOR269W
YBR211C	YDR394W
YGL156W	YKL103C
YBR231C	YNR030W
YCL050C	YJR022W
YLR102C	YKL022C
YLR102C	YHR166C
YKL157W	YHR114W
YKL157W	YMR307W
YKL157W	YJL078C
YBR217W	YPL149W
YBR217W	YDL029W
YBR217W	YPR049C
YBR217W	YLR423C
YBR217W	YLR438W
YBR217W	YDR022C
YBR217W	YLR216C
YBR217W	YKL104C
YBR217W	YBR011C
YBR217W	YIL125W
YBR217W	YLR059C
YBR217W	YDR465C
YBR217W	YHR200W
YBR217W	YFR004W
YBR217W	YHR027C
YBR217W	YDL097C
YBR217W	YPR108W
YBR217W	YKL145W
YBR217W	YDR394W
YBR217W	YBR080C
YBR217W	YBR166C
YPL149W	YJL167W
YKL135C	YPR029C
YKL135C	YHL019C
YKL135C	YGL206C
YPR029C	YHL019C
YPR029C	YFR043C
YHL019C	YFR045W
YOL062C	YJR058C
YOL062C	YFL045C
YOL062C	YFR049W
YPR192W	YFL062W
YPR192W	YGR295C
YPR192W	YHL048W
YPR192W	YPL189W
YPR192W	YPR156C
YPR192W	YKL065C
YPR192W	YHR140W
YBR149W	YDL211C
YLR370C	YKL013C
YLR370C	YNR035C
YLR370C	YBR234C
YLR370C	YDL029W
YLR370C	YJR065C
YKL013C	YNR035C
YKL013C	YBR234C
YKL013C	YDL029W
YKL013C	YJR065C
YKL013C	YKL129C
YKL013C	YMR109W
YKL013C	YDR063W
YNR035C	YBR234C
YNR035C	YDL029W
YNR035C	YJR065C
YNR035C	YHR114W
YNR035C	YDL225W
YNR035C	YGL208W
YBR234C	YDL029W
YBR234C	YJR065C
YBR234C	YKL129C
YBR234C	YMR109W
YBR234C	YML069W
YBR234C	YLR453C
YBR234C	YLR241W
YDL137W	YHR188C
YDL137W	YGR052W
YOL058W	YDR388W
YER069W	YLR214W
YDR173C	YMR043W
YNL020C	YGR241C
YNL020C	YDR259C
YDL029W	YJR065C
YDL029W	YBR202W
YDL029W	YPR019W
YDL029W	YBR208C
YDL029W	YNL084C
YDL029W	YKL104C
YDL029W	YKL129C
YDL029W	YMR109W
YDL029W	YPR178W
YDL029W	YIL066C
YDL029W	YOR261C
YDL029W	YDR394W
YDL029W	YOR259C
YDL029W	YDR143C
YDL029W	YDL225W
YDL029W	YDR260C
YJR065C	YMR109W
YJR065C	YNR053C
YJR065C	YPR086W
YJL081C	YOR244W
YJL081C	YBR010W
YJL081C	YDR225W
YJL081C	YDR224C
YLR085C	YDL237W
YPR201W	YEL027W
YPR201W	YPR079W
YPR201W	YLR171W
YDL100C	YHR114W
YDL100C	YHR057C
YDL100C	YDR304C
YDL100C	YML101C
YDL100C	YML048W
YDL100C	YOL126C
YDL100C	YGL020C
YDL100C	YER083C
YDL100C	YDR513W
YDL100C	YDR259C
YDL100C	YKR100C
YDL100C	YOR164C
YKL052C	YDR016C
YKL052C	YLR288C
YDL088C	YMR153W
YPR093C	YNL135C
YPR093C	YOL005C
YER101C	YBL050W
YOR377W	YHR178W
YBR128C	YDL185W
YBR128C	YPL120W
YLR423C	YMR068W
YLR423C	YDR022C
YLR423C	YDR052C
YLR423C	YBR102C
YLR423C	YMR032W
YLR423C	YER127W
YLR423C	YHR023W
YLR423C	YDR176W
YLR423C	YPL174C
YLR423C	YNL078W
YLR423C	YGR119C
YLR423C	YOR158W
YLR423C	YJL117W
YLR423C	YPR165W
YLR423C	YJL036W
YLR423C	YMR017W
YLR423C	YCL032W
YLR423C	YML064C
YLR423C	YDR259C
YLR423C	YCL063W
YLR423C	YCR082W
YLR423C	YDR357C
YLR423C	YLL049W
YLR423C	YLR108C
YLR423C	YMR124W
YLR423C	YOR164C
YLR423C	YPL159C
YDL113C	YPL174C
YDL113C	YJL036W
YNL242W	YJR022W
YLR393W	YMR279C
YNL315C	YBL099W
