YFL056C	YOL018C
YHR047C	YLR148W
YBL074C	YDR283C
YKL106W	YLR447C
YMR072W	YGL127C
YJR108W	YDL130W
YNR016C	YER179W
YNR016C	YDR398W
YLR131C	YPR086W
YLR131C	YMR304W
YLR131C	YNL157W
YDR448W	YDR216W
YDR448W	YOR023C
YDR448W	YHR166C
YDR448W	YDL165W
YDR448W	YBR278W
YDR448W	YPL248C
YDR448W	YFL031W
YDR448W	YPL254W
YDR448W	YDR228C
YDR448W	YOL148C
YDR448W	YBR081C
YDR448W	YDR308C
YDR448W	YBR198C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YPL169C
YOR128C	YCR012W
YOR128C	YGL127C
YOR128C	YPR088C
YOR128C	YML064C
YOR128C	YBR134W
YOR128C	YPR084W
YOR128C	YPR085C
YGL234W	YBR217W
YGL234W	YBR049C
YGL234W	YOR298W
YOL086C	YPR180W
YOL086C	YFR021W
YOL086C	YBR207W
YOL086C	YPL082C
YOL086C	YDR170C
YOL086C	YML085C
YOL086C	YAL027W
YCR011C	YBR290W
YCR011C	YPR079W
YCR011C	YGL098W
YDR216W	YDL029W
YDR216W	YPR086W
YDR216W	YBR198C
YCR010C	YJR040W
YDL239C	YML042W
YDL239C	YLR098C
YDL239C	YNL225C
YDL239C	YPL049C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YDL030W
YDL239C	YOL091W
YDL239C	YCL032W
YDL239C	YNR012W
YDL239C	YAL028W
YDL239C	YGR268C
YDL239C	YLR072W
YDL239C	YMR124W
YDL239C	YOR324C
YER017C	YBR247C
YER017C	YBR034C
YOR023C	YNL118C
YOR023C	YOL009C
YOR023C	YDL030W
YDL175C	YGR165W
YDL175C	YPL093W
YDL175C	YCR077C
YDL175C	YPR191W
YDR264C	YOR101W
YDR264C	YDR103W
YDR264C	YOR043W
YNL148C	YML085C
YNL219C	YGR149W
YFL050C	YLR453C
YGL156W	YOL082W
YGL156W	YKL103C
YPR128C	YMR306W
YPR128C	YAR027W
YPR128C	YAR028W
YPR180W	YJL001W
YDR530C	YLR295C
YNL172W	YDR118W
YNL172W	YOR249C
YNL172W	YHR166C
YNL172W	YGL240W
YDR118W	YOR249C
YDR118W	YLR102C
YDR118W	YHR166C
YDR118W	YGL240W
YOR249C	YLR102C
YOR249C	YHR166C
YOR249C	YGL240W
YLR102C	YHR166C
YLR102C	YML092C
YBR286W	YPL200W
YBR286W	YGL100W
YBR286W	YDR311W
YBR217W	YPL149W
YBR217W	YHR171W
YBR217W	YGL105W
YBR217W	YDR127W
YBR217W	YDL029W
YBR217W	YPR049C
YBR217W	YNR007C
YBR217W	YDR022C
YBR217W	YGL078C
YBR217W	YKL104C
YBR217W	YIL125W
YBR217W	YEL060C
YBR217W	YDR465C
YBR217W	YHR027C
YBR217W	YPR108W
YBR217W	YDR394W
YBR217W	YBR080C
YBR217W	YML055W
YBR217W	YHR033W
YBR217W	YLR031W
YHR171W	YNR007C
YHR171W	YOR191W
YHR171W	YMR183C
YHR171W	YNL212W
YKL135C	YPL259C
YKL135C	YLR170C
YKL135C	YGL206C
YKL135C	YBL025W
YPL259C	YLR170C
YPL259C	YNL308C
YPL259C	YPL093W
YPL259C	YER165W
YPL259C	YBR221C
YPL259C	YLR196W
YPL259C	YLR329W
YPL259C	YHR027C
YPL259C	YKL010C
YPL259C	YBL104C
YBR043C	YJL155C
YPR192W	YGR295C
YPR192W	YGR060W
YPR192W	YPL189W
YPR192W	YBR106W
YPR192W	YKL065C
YIL062C	YKL013C
YIL062C	YNR035C
YIL062C	YBR234C
YIL062C	YDL029W
YIL062C	YJR065C
YKL013C	YNR035C
YKL013C	YBR234C
YKL013C	YDL029W
YKL013C	YJR065C
YKL013C	YMR109W
YGL105W	YML095C
YNR035C	YBR234C
YNR035C	YDL029W
YNR035C	YJR065C
YNR035C	YBR109C
YNR035C	YLR429W
YBR234C	YDL029W
YBR234C	YJR065C
YBR234C	YMR109W
YBR234C	YML069W
YBR234C	YLR453C
YNR019W	YBR106W
YDL137W	YDR007W
YHR018C	YGL137W
YOL140W	YJR022W
YDR127W	YKL104C
YDR127W	YHR082C
YDR127W	YFR024C-A
YDR127W	YJR022W
YDR127W	YER095W
YDR127W	YGL048C
YDR127W	YPL235W
YBR249C	YEL047C
YBR249C	YOR050C
YBR249C	YPL150W
YHR137W	YBR198C
YHR137W	YDR092W
YHR137W	YMR152W
YDL029W	YJR065C
YDL029W	YBR039W
YDL029W	YNL271C
YDL029W	YPR019W
YDL029W	YLR429W
YDL029W	YKL104C
YDL029W	YOR181W
YDL029W	YMR109W
YDL029W	YPR178W
YDL029W	YDR032C
YDL029W	YLL013C
YDL029W	YAR007C
YDL029W	YDR394W
YDL029W	YOR259C
YJR065C	YOR181W
YJR065C	YMR109W
YJR065C	YPR086W
YJL081C	YDL002C
YOR141C	YDL002C
YJL115W	YJR140C
YJL115W	YGR180C
YJL115W	YDR181C
YJL115W	YOR213C
YJL170C	YER153C
YNL008C	YBR298C
YNL008C	YNL083W
YNL008C	YNL260C
YGR097W	YKL116C
YKL052C	YDR016C
YKL052C	YLR288C
YKL052C	YMR077C
YDL088C	YMR153W
YDR321W	YPL070W
YDR321W	YML064C
YDR321W	YGL095C
YPR093C	YNL135C
YPR093C	YDR131C
YER101C	YBL050W
YOR377W	YGL127C
YOR377W	YHR178W
YPR049C	YDR228C
YFR021W	YNL242W
YFR021W	YNR058W
YFR021W	YGL190C
YFR021W	YJR140C
YFR021W	YCL063W
YFR021W	YML059C
YLR189C	YBL038W
