YAL001C	YGR047C
YAL002W	YLR148W
YAL002W	YLR396C
YAL002W	YMR231W
YAL002W	YPL045W
YAL003W	YEL034W
YAL003W	YHR064C
YAL003W	YKL081W
YAL007C	YAR002C-A
YAL007C	YML012W
YAL013W	YDL076C
YAL013W	YIL084C
YAL013W	YNL097C
YAL013W	YOL004W
YAL013W	YPL139C
YAL024C	YHR158C
YAL026C	YLR447C
YAL035W	YBR031W
YAL035W	YDL014W
YAL035W	YDL082W
YAL035W	YDR091C
YAL035W	YDR429C
YAL035W	YFR031C-A
YAL035W	YGL076C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YPR041W
YAL043C	YDR195W
YAL043C	YGR156W
YAL043C	YJR093C
YAL043C	YKL018W
YAL043C	YKR002W
YAL043C	YLR277C
YAL043C	YNL222W
YAL043C	YOR179C
YAL043C	YPR107C
YAL053W	YOR153W
YAR002C-A	YML012W
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YJR123W
YAR073W	YLR432W
YAR073W	YOR096W
YBL004W	YCL059C
YBL004W	YCR057C
YBL004W	YDL014W
YBL004W	YDL213C
YBL004W	YDR064W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YHR196W
YBL004W	YJL109C
YBL004W	YLR129W
YBL004W	YLR186W
YBL004W	YLR197W
YBL004W	YLR367W
YBL004W	YMR093W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOL010W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL012W
YBL004W	YPL043W
YBL004W	YPL126W
YBL004W	YPL217C
YBL004W	YPL266W
YBL004W	YPR137W
YBL008W	YOR038C
YBL014C	YCL048W
YBL021C	YOR358W
YBL037W	YOL062C
YBL041W	YER012W
YBL041W	YER021W
YBL041W	YFL007W
YBL041W	YGL011C
YBL041W	YJL001W
YBL041W	YMR314W
YBL041W	YOR157C
YBL041W	YOR362C
YBL041W	YPR103W
YBL045C	YPR191W
YBL052C	YPR031W
YBL074C	YER029C
YBL074C	YER172C
YBL074C	YHR165C
YBL074C	YOR308C
YBL090W	YDR036C
YBL090W	YDR175C
YBL090W	YDR347W
YBL090W	YGR165W
YBL090W	YGR215W
YBL090W	YJR101W
YBL090W	YKL155C
YBL090W	YMR188C
YBL090W	YNL137C
YBL090W	YNL306W
YBL090W	YOR158W
YBL090W	YPL013C
YBL090W	YPL118W
YBL092W	YBR031W
YBL092W	YBR191W
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDR064W
YBL092W	YFR031C-A
YBL092W	YGL030W
YBL092W	YGL103W
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YJL177W
YBL092W	YJR094W-A
YBL092W	YJR123W
YBL092W	YKL180W
YBL092W	YLR287C-A
YBL092W	YLR441C
YBL092W	YLR448W
YBL092W	YML073C
YBL092W	YMR194W
YBL092W	YNL069C
YBL092W	YNL301C
YBL092W	YOL127W
YBL092W	YOR096W
YBL097W	YFR031C
YBL097W	YLR272C
YBR010W	YEL056W
YBR010W	YLL022C
YBR011C	YLR371W
YBR017C	YOR160W
YBR025C	YGL195W
YBR025C	YKL081W
YBR031W	YBR142W
YBR031W	YBR191W
YBR031W	YDL075W
YBR031W	YDL082W
YBR031W	YDR012W
YBR031W	YFR031C-A
YBR031W	YGL030W
YBR031W	YGL103W
YBR031W	YGR085C
YBR031W	YHL033C
YBR031W	YJL177W
YBR031W	YJR123W
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YLL045C
YBR031W	YLR075W
YBR031W	YLR287C-A
YBR031W	YLR441C
YBR031W	YLR448W
YBR031W	YML073C
YBR031W	YMR194W
YBR031W	YMR290C
YBR031W	YNL069C
YBR031W	YNL132W
YBR031W	YNL178W
YBR031W	YNL301C
YBR031W	YOL127W
YBR031W	YOR096W
YBR031W	YPL012W
YBR031W	YPL090C
YBR052C	YCR004C
YBR060C	YHR118C
YBR060C	YML065W
YBR065C	YER172C
YBR065C	YHR165C
YBR065C	YLL036C
YBR065C	YPL151C
YBR065C	YPR101W
YBR081C	YBR198C
YBR081C	YDR145W
YBR081C	YDR167W
YBR081C	YDR176W
YBR081C	YDR448W
YBR081C	YGR274C
YBR081C	YHR099W
YBR081C	YML015C
YBR081C	YMR223W
YBR081C	YOL148C
YBR084W	YFR031C-A
YBR084W	YHR010W
YBR084W	YLR075W
YBR084W	YLR340W
YBR087W	YJR068W
YBR087W	YNL290W
YBR087W	YOL094C
YBR087W	YOR217W
YBR097W	YPL120W
YBR105C	YDL082W
YBR105C	YGL227W
YBR105C	YIL017C
YBR105C	YMR135C
YBR122C	YCR071C
YBR122C	YDR296W
YBR122C	YDR322W
YBR122C	YGR220C
YBR122C	YHR147C
YBR122C	YJL063C
YBR122C	YKL167C
YBR122C	YKR006C
YBR122C	YLR439W
YBR122C	YML025C
YBR122C	YMR024W
YBR122C	YNL252C
YBR122C	YOR150W
YBR142W	YDL014W
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YJR145C
YBR142W	YLL045C
YBR142W	YML073C
YBR142W	YMR049C
YBR142W	YMR229C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YOL041C
YBR142W	YOR272W
YBR142W	YPL043W
YBR142W	YPL211W
YBR160W	YDL155W
YBR160W	YLR079W
YBR160W	YPL256C
YBR191W	YDL075W
YBR191W	YDL082W
YBR191W	YFR031C-A
YBR191W	YGL030W
YBR191W	YGL103W
YBR191W	YGR085C
YBR191W	YHL033C
YBR191W	YJL177W
YBR191W	YJR123W
YBR191W	YKL180W
YBR191W	YLR287C-A
YBR191W	YLR441C
YBR191W	YLR448W
YBR191W	YML073C
YBR191W	YMR194W
YBR191W	YNL069C
YBR191W	YNL178W
YBR191W	YOL127W
YBR193C	YBR253W
YBR193C	YDL005C
YBR193C	YDR308C
YBR193C	YER022W
YBR193C	YGL025C
YBR193C	YGL127C
YBR193C	YLR071C
YBR193C	YNL236W
YBR193C	YOL135C
YBR193C	YPL042C
YBR193C	YPR070W
YBR193C	YPR168W
YBR195C	YML102W
YBR198C	YDR145W
YBR198C	YDR167W
YBR198C	YDR176W
YBR198C	YDR448W
YBR198C	YGR274C
YBR198C	YHR099W
YBR198C	YML015C
YBR198C	YMR005W
YBR198C	YMR223W
YBR198C	YOL148C
YBR225W	YGL197W
YBR225W	YLR310C
YBR234C	YIL062C
YBR234C	YKL013C
YBR234C	YNR035C
YBR245C	YDR190C
YBR245C	YFL039C
YBR245C	YFR013W
YBR245C	YFR037C
YBR245C	YIL126W
YBR245C	YKR001C
YBR245C	YKR008W
YBR245C	YLR357W
YBR245C	YMR072W
YBR245C	YMR091C
YBR245C	YOL017W
YBR245C	YOR207C
YBR245C	YOR304W
YBR253W	YDL005C
YBR253W	YDR308C
YBR253W	YDR448W
YBR253W	YER022W
YBR253W	YGL025C
YBR253W	YGL127C
YBR253W	YLR071C
YBR253W	YNL236W
YBR253W	YOL135C
YBR253W	YPL042C
YBR253W	YPR070W
YBR253W	YPR168W
YBR254C	YDR472W
YBR254C	YGR166W
YBR254C	YKR068C
YBR254C	YML077W
YBR254C	YOR115C
YBR267W	YDR101C
YBR267W	YGL099W
YBR267W	YHR170W
YCL024W	YKR048C
YCL031C	YGR090W
