# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005682	CC	e	U5 snRNP	14/14	17/6920	1.0402716374992095e-40	5	14	9.83056697436753e-38	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0097525	CC	e	spliceosomal snRNP complex	14/14	62/6920	4.448535686259173e-30	4	14	2.101933111757459e-27	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0030532	CC	e	small nuclear ribonucleoprotein complex	14/14	64/6920	7.321018729386522e-30	3	14	2.3061208997567543e-27	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0120114	CC	e	Sm-like protein family complex	14/14	67/6920	1.4971117656930822e-29	2	14	3.536926546449907e-27	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0097526	CC	e	spliceosomal tri-snRNP complex	11/14	33/6920	1.6124934986857182e-24	5	11	2.5396772604300063e-22	BRR2, DIB1, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0046540	CC	e	U4/U6 x U5 tri-snRNP complex	11/14	33/6920	1.6124934986857182e-24	6	11	2.5396772604300063e-22	BRR2, DIB1, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0005681	CC	e	spliceosomal complex	12/14	99/6920	3.295631304622879e-21	3	12	4.449102261240887e-19	BRR2, DIB1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0071013	CC	e	catalytic step 2 spliceosome	9/14	33/6920	7.61992470818328e-19	4	9	9.0010360615415e-17	PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, SNU114
GO:0005685	CC	e	U1 snRNP	7/14	19/6920	1.1383038208905694e-15	5	7	1.1952190119350979e-13	SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3
GO:0005686	CC	e	U2 snRNP	7/14	20/6920	1.7496828967953937e-15	5	7	1.6534503374716472e-13	SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3
GO:1990904	CC	e	ribonucleoprotein complex	14/14	622/6920	1.9646802942095024e-15	2	14	1.6878389800254362e-13	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0140513	CC	e	nuclear protein-containing complex	14/14	707/6920	1.201829251828878e-14	2	14	9.464405358152414e-13	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0005687	CC	e	U4 snRNP	5/14	7/6920	3.1770148541246286e-13	5	5	2.3094454131905953e-11	SMB1, SMD1, SMD3, SME1, SMX2
GO:0005684	CC	e	U2-type spliceosomal complex	7/14	61/6920	9.494201631130026e-12	4	7	6.408586101012767e-10	SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SNU114
GO:0071004	CC	e	U2-type prespliceosome	6/14	31/6920	1.417259465607697e-11	5	6	8.37068871874546e-10	SMB1, SMD1, SMD2, SMD3, SME1, SMX2
GO:0071010	CC	e	prespliceosome	6/14	31/6920	1.417259465607697e-11	4	6	8.37068871874546e-10	SMB1, SMD1, SMD2, SMD3, SME1, SMX2
GO:0034715	CC	e	pICln-Sm protein complex	4/14	5/6920	5.2367869945393595e-11	3	4	2.911037476376291e-09	SMD1, SMD2, SME1, SMX3
GO:0071011	CC	e	precatalytic spliceosome	5/14	16/6920	6.543929262713976e-11	4	5	3.4355628629248374e-09	SMD1, SMD2, SMD3, SME1, SMX2
GO:0034719	CC	e	SMN-Sm protein complex	3/14	3/6920	6.593600821570199e-09	3	3	3.2794488296757043e-07	SMD1, SMD3, SMX2
GO:0032991	CC	e	protein-containing complex	14/14	2176/6920	8.979541453955867e-08	1	14	4.242833336994147e-06	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0005634	CC	e	nucleus	14/14	2331/6920	2.3595764747087164e-07	5	14	1.0618094136189223e-05	AAR2, BRR2, DIB1, LIN1, PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNU114
GO:0000974	CC	e	Prp19 complex	3/14	14/6920	2.368763661041185e-06	2	3	0.0001017491663492691	PRP8, SMD2, SNU114
GO:1902494	CC	e	catalytic complex	9/14	851/6920	6.952021377070079e-06	2	9	0.00028563740005787934	PRP28, PRP8, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, SNU114
GO:0000243	CC	e	commitment complex	2/14	13/6920	0.0002927453224245729	5	2	0.011526847070467559	SMD1, SMD3
