# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0033554	BP	e	cellular response to stress	9/9	795/6920	3.3486745292323664e-09	3	9	1.377995592297808e-05	ACT1, ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0006950	BP	e	response to stress	9/9	850/6920	6.132258787873569e-09	2	9	1.377995592297808e-05	ACT1, ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0051716	BP	e	cellular response to stimulus	9/9	887/6920	9.014362793051513e-09	2	9	1.377995592297808e-05	ACT1, ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0006281	BP	e	DNA repair	7/9	319/6920	1.3792382739336213e-08	7	7	1.5051513571318497e-05	ACT1, ARP4, EAF3, EPL1, ESA1, TRA1, YNG2
GO:0006355	BP	e	regulation of DNA-templated transcription	8/9	581/6920	1.969234222152442e-08	9	8	1.5051513571318497e-05	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:2001141	BP	e	regulation of RNA biosynthetic process	8/9	581/6920	1.969234222152442e-08	8	8	1.5051513571318497e-05	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0050896	BP	e	response to stimulus	9/9	1020/6920	3.186663167892715e-08	1	9	2.087719612565142e-05	ACT1, ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0006974	BP	e	DNA damage response	7/9	370/6920	3.8784187257225644e-08	4	7	2.113879894948705e-05	ACT1, ARP4, EAF3, EPL1, ESA1, TRA1, YNG2
GO:0051252	BP	e	regulation of RNA metabolic process	8/9	638/6920	4.148477770287472e-08	7	8	2.113879894948705e-05	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	8/9	725/6920	1.1455439163994126e-07	6	8	5.2534644006077065e-05	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0006338	BP	e	chromatin remodeling	6/9	259/6920	1.9840590277208297e-07	5	6	8.271722455570659e-05	ARP4, EAF3, EPL1, ESA1, TRA1, YNG2
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	7/9	487/6920	2.608271102958539e-07	10	7	9.967942731806549e-05	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1
GO:0006259	BP	e	DNA metabolic process	7/9	525/6920	4.3820544553325933e-07	6	7	0.00015458539793965594	ACT1, ARP4, EAF3, EPL1, ESA1, TRA1, YNG2
GO:0006325	BP	e	chromatin organization	6/9	324/6920	7.50358784119337e-07	4	6	0.00024579609885509143	ARP4, EAF3, EPL1, ESA1, TRA1, YNG2
GO:0010468	BP	e	regulation of gene expression	8/9	953/6920	9.973080388864648e-07	7	8	0.00030491031108888846	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	8/9	982/6920	1.2633076909178885e-06	6	8	0.0003620955669093398	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0080090	BP	e	regulation of primary metabolic process	8/9	1011/6920	1.5890147447922753e-06	5	8	0.00042866009527161024	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0009889	BP	e	regulation of biosynthetic process	8/9	1020/6920	1.7039201318281686e-06	5	8	0.000434120984697999	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0060255	BP	e	regulation of macromolecule metabolic process	8/9	1107/6920	3.2445015393768032e-06	5	8	0.0007831202136622115	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0019222	BP	e	regulation of metabolic process	8/9	1196/6920	5.954011604539911e-06	4	8	0.0013652548609210016	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0050794	BP	e	regulation of cellular process	8/9	1728/6920	0.00010468483848932986	3	8	0.022861174729146037	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0050789	BP	e	regulation of biological process	8/9	1743/6920	0.00011191716084440316	2	8	0.023329640892383312	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
GO:0065007	BP	e	biological regulation	8/9	1859/6920	0.00018397921993203558	1	8	0.03668385663514414	ARP4, CRZ1, EAF3, EPL1, ESA1, TRA1, YAP1, YNG2
