# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0036503	BP	e	ERAD pathway	5/5	57/6920	3.1709723752735e-11	8	5	1.454207931300427e-07	CDC48, CUE1, NPL4, SSM4, UBX2
GO:1901698	BP	e	response to nitrogen compound	5/5	79/6920	1.7068074577598972e-10	3	5	3.9137095006434443e-07	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0034976	BP	e	response to endoplasmic reticulum stress	5/5	86/6920	2.6374598965235715e-10	4	5	4.0317970284856996e-07	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0010498	BP	e	proteasomal protein catabolic process	5/5	175/6920	9.778116659378607e-09	7	5	1.1210610749977572e-05	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0030970	BP	e	retrograde protein transport, ER to cytosol	3/5	9/6920	1.5196209440390336e-08	9	3	1.1614969415605013e-05	CDC48, NPL4, SSM4
GO:1903513	BP	e	endoplasmic reticulum to cytosol transport	3/5	9/6920	1.5196209440390336e-08	5	3	1.1614969415605013e-05	CDC48, NPL4, SSM4
GO:0030163	BP	e	protein catabolic process	5/5	208/6920	2.3408963596017373e-08	5	5	1.5336215293047953e-05	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0072671	BP	e	mitochondria-associated ubiquitin-dependent protein catabolic process	3/5	13/6920	5.169457525817318e-08	10	3	2.9633915266747777e-05	CDC48, NPL4, UBX2
GO:0051603	BP	e	proteolysis involved in protein catabolic process	5/5	250/6920	5.9199815598048596e-08	6	5	3.0165594925850096e-05	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0032527	BP	e	protein exit from endoplasmic reticulum	3/5	14/6920	6.577881363678077e-08	8	3	3.0166163933827663e-05	CDC48, NPL4, SSM4
GO:0006508	BP	e	proteolysis	5/5	394/6920	5.84135311638618e-07	5	5	0.00024353132174315473	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0042221	BP	e	response to chemical	5/5	403/6920	6.543432336003176e-07	2	5	0.0002500681724409214	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0009057	BP	e	macromolecule catabolic process	5/5	447/6920	1.101251076981013e-06	4	5	0.0003884874953103789	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0099638	BP	e	endosome to plasma membrane protein transport	2/5	3/6920	1.2527841560983376e-06	8	2	0.000410376295704784	CDC48, NPL4
GO:0051228	BP	e	mitotic spindle disassembly	2/5	4/6920	2.504843897806241e-06	9	2	0.0007179508822087138	CDC48, NPL4
GO:0006274	BP	e	DNA replication termination	2/5	4/6920	2.504843897806241e-06	7	2	0.0007179508822087138	CDC48, NPL4
GO:0051230	BP	e	spindle disassembly	2/5	7/6920	8.759350590282947e-06	8	2	0.002362963635708094	CDC48, NPL4
GO:1990116	BP	e	ribosome-associated ubiquitin-dependent protein catabolic process	2/5	9/6920	1.5007345092865297e-05	10	2	0.0034411842297940127	CDC48, NPL4
GO:1900182	BP	e	positive regulation of protein localization to nucleus	2/5	9/6920	1.5007345092865297e-05	7	2	0.0034411842297940127	CDC48, NPL4
GO:0071629	BP	e	cytoplasm protein quality control by the ubiquitin-proteasome system	2/5	9/6920	1.5007345092865297e-05	10	2	0.0034411842297940127	CDC48, NPL4
GO:0140455	BP	e	cytoplasm protein quality control	2/5	10/6920	1.875375532606958e-05	8	2	0.004095462948826433	CDC48, NPL4
GO:0033554	BP	e	cellular response to stress	5/5	795/6920	1.9790635515723785e-05	3	5	0.004125447930686785	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0006950	BP	e	response to stress	5/5	850/6920	2.767409953114701e-05	2	5	0.005517974802166965	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0032456	BP	e	endocytic recycling	2/5	13/6920	3.247830606893903e-05	6	2	0.0060432636325432176	CDC48, NPL4
GO:0090150	BP	e	establishment of protein localization to membrane	3/5	105/6920	3.321032187510465e-05	6	3	0.0060432636325432176	CDC48, CUE1, NPL4
GO:0051716	BP	e	cellular response to stimulus	5/5	887/6920	3.4261852256023474e-05	2	5	0.0060432636325432176	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0009056	BP	e	catabolic process	5/5	916/6920	4.025553810321235e-05	3	5	0.006837477694123402	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0061951	BP	e	establishment of protein localization to plasma membrane	2/5	16/6920	4.992326349043648e-05	7	2	0.008176717370255061	CDC48, NPL4
GO:0043161	BP	e	proteasome-mediated ubiquitin-dependent protein catabolic process	3/5	122/6920	5.210992259833995e-05	9	3	0.008240555346068518	CDC48, NPL4, UBX2
GO:1903829	BP	e	positive regulation of protein localization	2/5	17/6920	5.6563324825995515e-05	6	2	0.008646646921733846	CDC48, NPL4
GO:0050896	BP	e	response to stimulus	5/5	1020/6920	6.89976106510037e-05	1	5	0.010114120374193665	CDC48, CUE1, NPL4, SSM4, UBX2
GO:0072657	BP	e	protein localization to membrane	3/5	135/6920	7.057388835023927e-05	5	3	0.010114120374193665	CDC48, CUE1, NPL4
GO:0070651	BP	e	nonfunctional rRNA decay	2/5	22/6920	9.593550455019078e-05	9	2	0.012940006584328674	CDC48, NPL4
GO:1900180	BP	e	regulation of protein localization to nucleus	2/5	22/6920	9.593550455019078e-05	6	2	0.012940006584328674	CDC48, NPL4
GO:0007052	BP	e	mitotic spindle organization	2/5	26/6920	0.00013481793530396443	8	2	0.017665001465828025	CDC48, NPL4
GO:0072659	BP	e	protein localization to plasma membrane	2/5	27/6920	0.0001455612030092658	6	2	0.018542879916680362	CDC48, NPL4
GO:0051668	BP	e	localization within membrane	3/5	174/6920	0.00015057306322957027	3	3	0.01866292075596782	CDC48, CUE1, NPL4
GO:0016075	BP	e	rRNA catabolic process	2/5	29/6920	0.00016827242132615123	8	2	0.020241763761269713	CDC48, NPL4
