YAL003W	P32471	0
YAL007C	P39704	1
YAL029C	P32492	2
YAL033W	P28005	3
YAL034W-A	P39731	4
YAL035W	P39730	5
YAL042W	P39727	6
YAL047C	P39723	7
YAR002C-A	Q05359	8
YAR003W	P39706	9
YAR007C	P22336	10
YAR073W	P39567	11
YAR075W	O42831	12
YBL002W	P02294	13
YBL003C	P04912	14
YBL004W	P35194	15
YBL008W	P32479	16
YBL018C	P38208	17
YBL021C	P13434	18
YBL026W	P38203	19
YBL027W	P0CX83	20
YBL035C	P38121	21
YBL037W	P38065	22
YBL038W	P38064	23
YBL045C	P07256	24
YBL046W	P38193	25
YBL072C	P0CX39	26
YBL074C	P32357	27
YBL087C	P0CX41	28
YBL090W	P38175	29
YBL092W	P38061	30
YBR025C	P38219	31
YBR031W	P10664	32
YBR048W	P0CX48	33
YBR055C	P19735	34
YBR060C	P32833	35
YBR065C	P38241	36
YBR079C	P38249	37
YBR081C	P35177	38
YBR084W	P09440	39
YBR087W	P38251	40
YBR105C	P38263	41
YBR122C	P36531	42
YBR127C	P16140	43
YBR130C	P38272	44
YBR142W	P38112	45
YBR143C	P12385	46
YBR146W	P38120	47
YBR154C	P20434	48
YBR160W	P00546	49
YBR171W	P33754	50
YBR175W	P38123	51
YBR189W	P05755	52
YBR191W	Q02753	53
YBR195C	P13712	54
YBR211C	P38313	55
YBR215W	Q01448	56
YBR245C	P38144	57
YBR247C	P38333	58
YBR251W	P33759	59
YBR253W	P32570	60
YBR254C	P38334	61
YBR258C	P38337	62
YBR267W	P38344	63
YBR282W	P36526	64
YBR288C	P38153	65
YCL011C	P25555	66
YCL024W	P25389	67
YCL031C	P25368	68
YCL037C	P25567	69
YCL054W	P25582	70
YCL059C	P25586	71
YCR002C	P25342	72
YCR020C-A	P23059	73
YCR020W-B	Q9URQ5	74
YCR028C-A	P32445	75
YCR031C	P06367	76
YCR035C	P25359	77
YCR046C	P25626	78
YCR052W	P25632	79
YCR057C	P25635	80
YCR060W	P25638	81
YCR071C	P25642	82
YCR072C	P25382	83
YCR077C	P25644	84
YCR081W	P25648	85
YCR092C	P25336	86
YDL002C	Q03435	87
YDL003W	Q12158	88
YDL013W	P32828	89
YDL014W	P15646	90
YDL040C	P12945	91
YDL042C	P06700	92
YDL043C	Q07350	93
YDL044C	P10849	94
YDL045W-A	O75012	95
