YAL001C	YGR047C
YAL002W	YLR148W
YAL002W	YLR396C
YAL002W	YMR231W
YAL003W	YEL034W
YAL003W	YHR064C
YAL003W	YKL081W
YAL007C	YGL200C
YAL011W	YBR231C
YAL011W	YDR334W
YAL011W	YNL107W
YAL011W	YPL235W
YAL016W	YGL190C
YAL016W	YGR161C
YAL016W	YML109W
YAL016W	YMR273C
YAL016W	YOR014W
YAL027W	YPL022W
YAL034W-A	YJR112W
YAL034W-A	YPL233W
YAL035W	YBR031W
YAL035W	YDR091C
YAL035W	YDR418W
YAL035W	YDR429C
YAL035W	YGL076C
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL047C	YNL126W
YAL053W	YOR153W
YAR014C	YER133W
YAR073W	YGR085C
YAR073W	YHR216W
YBL002W	YKR048C
YBL002W	YML069W
YBL007C	YOR181W
YBL027W	YBL092W
YBL027W	YBR031W
YBL027W	YBR191W
YBL027W	YDR012W
YBL027W	YDR471W
YBL027W	YGL030W
YBL027W	YGR085C
YBL027W	YHL033C
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR344W
YBL027W	YLR441C
YBL027W	YML073C
YBL027W	YNL069C
YBL027W	YNL096C
YBL027W	YNL178W
YBL027W	YOL127W
YBL035C	YIR008C
YBL037W	YOL062C
YBL038W	YBR122C
YBL038W	YCR071C
YBL038W	YDR237W
YBL038W	YDR296W
YBL038W	YDR462W
YBL038W	YKL167C
YBL038W	YKR085C
YBL038W	YLR312W-A
YBL038W	YML025C
YBL038W	YMR024W
YBL038W	YNL284C
YBL038W	YOR150W
YBL041W	YER012W
YBL041W	YER021W
YBL041W	YJL001W
YBL041W	YML092C
YBL041W	YOR157C
YBL041W	YPR103W
YBL047C	YCR030C
YBL052C	YPR031W
YBL072C	YBR031W
YBL072C	YCL059C
YBL072C	YDL148C
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YDR449C
YBL072C	YDR471W
YBL072C	YGL076C
YBL072C	YGL120C
YBL072C	YGR054W
YBL072C	YGR085C
YBL072C	YGR090W
YBL072C	YHL033C
YBL072C	YHL034C
YBL072C	YJL177W
YBL072C	YKL180W
YBL072C	YLL045C
YBL072C	YLR186W
YBL072C	YLR197W
YBL072C	YLR340W
YBL072C	YLR441C
YBL072C	YML073C
YBL072C	YMR116C
YBL072C	YMR128W
YBL072C	YMR146C
YBL072C	YMR229C
YBL072C	YNL096C
YBL072C	YNL178W
YBL072C	YOL127W
YBL072C	YPL012W
YBL072C	YPL126W
YBL072C	YPL131W
YBL074C	YHR165C
YBL074C	YLR275W
YBL074C	YOR308C
YBL092W	YBR031W
YBL092W	YBR191W
YBL092W	YDR471W
YBL092W	YGL030W
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YJL177W
YBL092W	YJR094W-A
YBL092W	YKL180W
YBL092W	YLR441C
YBL092W	YML073C
YBL092W	YNL069C
YBL092W	YNL096C
YBL092W	YOL127W
YBL093C	YBR193C
YBL093C	YBR253W
YBL093C	YDL005C
YBL093C	YDR308C
YBL093C	YGL127C
YBL093C	YGL151W
YBL093C	YHR041C
YBL093C	YOL135C
YBL093C	YPR070W
YBL093C	YPR168W
YBR010W	YEL056W
YBR010W	YLL022C
YBR025C	YDL185W
YBR025C	YGL195W
YBR025C	YJR121W
YBR025C	YKL081W
YBR031W	YBR142W
YBR031W	YBR191W
YBR031W	YDR012W
YBR031W	YDR418W
YBR031W	YDR471W
YBR031W	YGL030W
YBR031W	YGR085C
YBR031W	YHL033C
YBR031W	YIL133C
YBR031W	YJL177W
YBR031W	YKL180W
YBR031W	YLL045C
YBR031W	YLR441C
YBR031W	YML073C
YBR031W	YNL069C
YBR031W	YNL096C
YBR031W	YNL178W
YBR031W	YOL127W
YBR031W	YPL012W
YBR031W	YPL220W
YBR061C	YMR259C
YBR072W	YNL064C
YBR081C	YBR198C
YBR081C	YDR145W
YBR081C	YDR167W
YBR081C	YDR176W
YBR081C	YGR274C
YBR081C	YMR223W
YBR081C	YMR227C
YBR081C	YOL148C
YBR081C	YPL254W
YBR087W	YNL290W
YBR087W	YOR144C
YBR095C	YIL084C
YBR095C	YMR075W
YBR095C	YNL097C
YBR095C	YNL330C
YBR095C	YOL004W
YBR095C	YPL139C
YBR095C	YPL181W
YBR097W	YLR360W
YBR103W	YCR033W
YBR103W	YIL112W
YBR103W	YLR347C
YBR105C	YMR135C
YBR119W	YDR235W
YBR119W	YHR086W
YBR119W	YLR147C
YBR119W	YLR275W
YBR119W	YML046W
YBR119W	YPR057W
YBR119W	YPR182W
YBR122C	YCR071C
YBR122C	YDR237W
YBR122C	YDR296W
YBR122C	YDR462W
YBR122C	YKL167C
YBR122C	YKR085C
YBR122C	YML025C
YBR122C	YMR024W
YBR122C	YOR150W
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YHR052W
YBR142W	YLL045C
YBR142W	YML073C
YBR142W	YMR229C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YPL131W
YBR142W	YPL211W
YBR143C	YPL237W
YBR146W	YBR251W
YBR146W	YDR036C
YBR146W	YDR041W
YBR146W	YDR175C
YBR146W	YDR347W
YBR146W	YER050C
YBR146W	YGL129C
YBR146W	YGR215W
YBR146W	YHL004W
YBR146W	YJR101W
YBR146W	YJR113C
YBR146W	YKL003C
YBR146W	YMR188C
YBR146W	YNL081C
YBR146W	YNL137C
YBR146W	YOR158W
YBR146W	YPL013C
YBR171W	YOR254C
YBR175W	YKL018W
YBR191W	YDR418W
YBR191W	YDR471W
YBR191W	YGL030W
YBR191W	YGR085C
YBR191W	YHL033C
YBR191W	YJL177W
YBR191W	YKL180W
YBR191W	YLR441C
YBR191W	YML073C
YBR191W	YNL069C
YBR191W	YNL096C
YBR191W	YNL178W
YBR191W	YOL127W
YBR193C	YBR253W
YBR193C	YCR081W
YBR193C	YDL005C
YBR193C	YDR308C
YBR193C	YGL127C
YBR193C	YGL151W
YBR193C	YHR041C
YBR193C	YOL135C
YBR193C	YPR070W
YBR193C	YPR168W
YBR195C	YML102W
YBR198C	YDR145W
YBR198C	YDR167W
YBR198C	YDR176W
YBR198C	YGR274C
YBR198C	YMR005W
YBR198C	YMR223W
YBR198C	YMR227C
YBR198C	YOL148C
YBR198C	YPL254W
YBR225W	YGL197W
YBR229C	YDR221W
YBR231C	YDR334W
YBR231C	YFL039C
YBR231C	YGR002C
YBR231C	YLR385C
YBR231C	YLR399C
YBR231C	YNL107W
YBR231C	YPL235W
YBR234C	YIL062C
YBR234C	YJR065C
YBR251W	YDR041W
YBR251W	YDR175C
YBR251W	YDR347W
YBR251W	YGL129C
YBR251W	YGR215W
YBR251W	YHL004W
YBR251W	YJR101W
YBR251W	YJR113C
YBR251W	YKL003C
YBR251W	YMR188C
YBR251W	YNL137C
YBR251W	YOR158W
YBR251W	YPL013C
YBR253W	YCR081W
YBR253W	YDL005C
YBR253W	YDR308C
YBR253W	YGL127C
YBR253W	YGL151W
YBR253W	YHR041C
YBR253W	YOL135C
YBR253W	YPR070W
YBR253W	YPR168W
YBR257W	YHR062C
YBR257W	YNL221C
YBR258C	YKL018W
YBR267W	YDR101C
YBR267W	YGL099W
YBR279W	YGL019W
YBR279W	YGL207W
YBR279W	YGL244W
YBR279W	YIL035C
