YAL002W	YPL045W
YAL007C	YAR002C-A
YAL007C	YML012W
YAL033W	YBR257W
YAL033W	YNL282W
YAL034W-A	YIR010W
YAL034W-A	YPL233W
YAL053W	YOR153W
YAR002C-A	YML012W
YAR007C	YHR164C
YAR007C	YOL090W
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YLR432W
YAR073W	YML056C
YAR073W	YML063W
YAR073W	YMR242C
YAR073W	YOR096W
YAR073W	YPL198W
YBL021C	YOR358W
YBL035C	YKL045W
YBL035C	YNL102W
YBL046W	YDR075W
YBL046W	YNL201C
YBL072C	YBR031W
YBL072C	YBR048W
YBL072C	YBR247C
YBL072C	YCL059C
YBL072C	YCR031C
YBL072C	YDL060W
YBL072C	YDL082W
YBL072C	YDL083C
YBL072C	YDL148C
YBL072C	YDR064W
YBL072C	YDR418W
YBL072C	YDR471W
YBL072C	YGL103W
YBL072C	YGR085C
YBL072C	YHL015W
YBL072C	YHL033C
YBL072C	YJL177W
YBL072C	YKL180W
YBL072C	YLL011W
YBL072C	YLR186W
YBL072C	YLR197W
YBL072C	YLR287C-A
YBL072C	YLR340W
YBL072C	YLR448W
YBL072C	YML063W
YBL072C	YMR093W
YBL072C	YMR116C
YBL072C	YMR128W
YBL072C	YMR146C
YBL072C	YMR194W
YBL072C	YMR242C
YBL072C	YMR290C
YBL072C	YNL132W
YBL072C	YOL127W
YBL072C	YOR063W
YBL072C	YOR096W
YBL072C	YPL012W
YBL072C	YPL131W
YBL072C	YPL198W
YBL084C	YHR166C
YBL084C	YLR127C
YBL084C	YOR249C
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR337W
YBL090W	YDR347W
YBL090W	YGL129C
YBL090W	YGR084C
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YJR101W
YBL090W	YJR113C
YBL090W	YKL155C
YBL090W	YMR158W
YBL090W	YMR188C
YBL090W	YNR037C
YBL090W	YPL013C
YBL090W	YPL118W
YBL092W	YBR031W
YBL092W	YBR191W
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDL083C
YBL092W	YDR064W
YBL092W	YDR382W
YBL092W	YDR471W
YBL092W	YFR032C-A
YBL092W	YGL030W
YBL092W	YGL031C
YBL092W	YGL103W
YBL092W	YGR085C
YBL092W	YJL177W
YBL092W	YKL180W
YBL092W	YLR287C-A
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YMR194W
YBL092W	YNL301C
YBL092W	YOL127W
YBL092W	YOR063W
YBL092W	YOR096W
YBL093C	YBR253W
YBL093C	YGR104C
YBL093C	YHR041C
YBL093C	YHR058C
YBL093C	YNL236W
YBL093C	YOL135C
YBL093C	YOR174W
YBL097W	YFR031C
YBL097W	YLR272C
YBL099W	YJR121W
YBR010W	YEL056W
YBR025C	YGL195W
YBR025C	YJR121W
YBR025C	YKL081W
YBR031W	YBR048W
YBR031W	YBR191W
YBR031W	YCR031C
YBR031W	YDL075W
YBR031W	YDL082W
YBR031W	YDL083C
YBR031W	YDR012W
YBR031W	YDR382W
YBR031W	YDR418W
YBR031W	YDR471W
YBR031W	YGL030W
YBR031W	YGL031C
YBR031W	YGL103W
YBR031W	YGR085C
YBR031W	YHL033C
YBR031W	YJL177W
YBR031W	YKL180W
YBR031W	YKR081C
YBR031W	YLR287C-A
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YMR194W
YBR031W	YMR242C
YBR031W	YMR290C
YBR031W	YNL132W
YBR031W	YNL301C
YBR031W	YOL120C
YBR031W	YOL127W
YBR031W	YOR063W
YBR031W	YOR096W
YBR031W	YPL012W
YBR031W	YPL198W
YBR031W	YPL220W
YBR048W	YBR247C
YBR048W	YCL059C
YBR048W	YCR031C
YBR048W	YDL060W
YBR048W	YDL083C
YBR048W	YDL148C
YBR048W	YDR012W
YBR048W	YDR064W
YBR048W	YDR299W
YBR048W	YDR418W
YBR048W	YDR471W
YBR048W	YGL030W
YBR048W	YGR085C
YBR048W	YHL033C
YBR048W	YJL177W
YBR048W	YKL180W
YBR048W	YLR287C-A
YBR048W	YLR340W
YBR048W	YLR448W
YBR048W	YML063W
YBR048W	YMR194W
YBR048W	YMR242C
YBR048W	YMR290C
YBR048W	YNL132W
YBR048W	YOL127W
YBR048W	YOR063W
YBR048W	YOR096W
YBR048W	YPL012W
YBR048W	YPL131W
YBR048W	YPL198W
YBR065C	YHR165C
YBR065C	YLL036C
YBR081C	YCL010C
YBR081C	YDR167W
YBR081C	YDR448W
YBR081C	YGR252W
YBR081C	YGR274C
YBR081C	YHR099W
YBR081C	YMR223W
YBR084W	YDR471W
YBR084W	YHR010W
YBR084W	YLR340W
YBR084W	YOR063W
YBR095C	YIL084C
YBR095C	YOL004W
YBR095C	YPL181W
YBR095C	YPR023C
YBR103W	YCR033W
YBR103W	YIL112W
YBR105C	YDL082W
YBR105C	YIL097W
YBR119W	YDL087C
YBR119W	YDR235W
YBR119W	YGR013W
YBR119W	YIL061C
YBR119W	YLR147C
YBR119W	YOR159C
YBR119W	YPR057W
YBR122C	YCR046C
YBR122C	YCR071C
YBR122C	YDR116C
YBR122C	YDR296W
YBR122C	YDR322W
YBR122C	YDR405W
YBR122C	YHR147C
YBR122C	YJL063C
YBR122C	YKR006C
YBR122C	YKR085C
YBR122C	YLR439W
YBR122C	YML025C
YBR122C	YNL005C
YBR122C	YNL252C
YBR123C	YDR362C
YBR123C	YGR047C
YBR125C	YDR186C
YBR127C	YGR020C
YBR127C	YKL080W
YBR135W	YBR160W
YBR135W	YLR079W
YBR135W	YPL256C
YBR152W	YGR091W
YBR152W	YOR308C
YBR154C	YDL140C
YBR154C	YGL070C
YBR154C	YGR005C
YBR154C	YGR063C
YBR154C	YGR186W
YBR154C	YIL021W
YBR154C	YKL144C
YBR154C	YNL151C
YBR154C	YNL248C
YBR154C	YNR003C
YBR154C	YOL005C
YBR154C	YOR116C
YBR154C	YOR207C
YBR154C	YOR210W
YBR154C	YOR341W
YBR154C	YPL129W
YBR154C	YPR010C
YBR160W	YLR079W
YBR160W	YPL256C
YBR169C	YDR349C
YBR175W	YLR015W
YBR191W	YCR031C
