YAL002W	YLR396C
YAL003W	YHR064C
YAL003W	YKL081W
YAL003W	YLR249W
YAL003W	YPL048W
YAL011W	YDR190C
YAL011W	YDR334W
YAL013W	YBR095C
YAL013W	YMR263W
YAL013W	YNL330C
YAL013W	YPL181W
YAL027W	YPL022W
YAL029C	YGL106W
YAL029C	YHR023W
YAL029C	YOR326W
YAL033W	YBL018C
YAL033W	YHR062C
YAL033W	YNL221C
YAL033W	YNL282W
YAL034W-A	YJR112W
YAL034W-A	YPL233W
YAR002W	YLR335W
YAR002W	YLR347C
YAR003W	YBR175W
YAR003W	YDR469W
YAR003W	YKL018W
YAR007C	YJL173C
YAR007C	YML032C
YAR007C	YNL312W
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YJR123W
YAR073W	YML056C
YAR073W	YML063W
YAR073W	YMR242C
YAR073W	YOR096W
YAR075W	YML056C
YBL002W	YBL003C
YBL002W	YGL241W
YBL002W	YML069W
YBL002W	YOL012C
YBL003C	YBR245C
YBL003C	YDR224C
YBL003C	YGL241W
YBL003C	YNL030W
YBL003C	YPL082C
YBL004W	YBR048W
YBL004W	YBR189W
YBL004W	YBR247C
YBL004W	YCL059C
YBL004W	YDL014W
YBL004W	YDL148C
YBL004W	YDL213C
YBL004W	YDR299W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YER082C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YHR148W
YBL004W	YHR196W
YBL004W	YJL109C
YBL004W	YKR060W
YBL004W	YLL011W
YBL004W	YLR186W
YBL004W	YLR222C
YBL004W	YLR367W
YBL004W	YLR409C
YBL004W	YMR093W
YBL004W	YMR128W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOR096W
YBL004W	YPL012W
YBL004W	YPL043W
YBL004W	YPL266W
YBL004W	YPR137W
YBL004W	YPR144C
YBL018C	YHR062C
YBL018C	YNL221C
YBL018C	YNL282W
YBL026W	YBR055C
YBL026W	YDL098C
YBL026W	YDR378C
YBL026W	YGR074W
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YMR268C
YBL026W	YOR308C
YBL026W	YPR082C
YBL035C	YIR008C
YBL038W	YBR122C
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YDR322W
YBL038W	YKL167C
YBL038W	YKR006C
YBL038W	YLR439W
YBL038W	YML025C
YBL038W	YMR024W
YBL038W	YMR193W
YBL038W	YNL284C
YBL038W	YOR150W
YBL045C	YPR191W
YBL046W	YDR075W
YBL087C	YGL111W
YBL087C	YMR290C
YBL087C	YPL093W
YBL087C	YPL208W
YBR025C	YKL081W
YBR048W	YBR189W
YBR048W	YBR247C
YBR048W	YCL011C
YBR048W	YCL059C
YBR048W	YCR031C
