# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0010499	BP	e	proteasomal ubiquitin-independent protein catabolic process	14/14	17/6920	1.0402716374992095e-40	8	14	4.770685729571375e-37	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0043161	BP	e	proteasome-mediated ubiquitin-dependent protein catabolic process	14/14	122/6920	1.308187754363621e-25	9	14	2.999674520755783e-22	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0010498	BP	e	proteasomal protein catabolic process	14/14	175/6920	2.5994850767519552e-23	7	14	3.9737461873281557e-20	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0006511	BP	e	ubiquitin-dependent protein catabolic process	14/14	182/6920	4.5973176463131273e-23	8	14	5.270824681498e-20	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0019941	BP	e	modification-dependent protein catabolic process	14/14	188/6920	7.362105189120978e-23	7	14	6.752522879461761e-20	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0043632	BP	e	modification-dependent macromolecule catabolic process	14/14	193/6920	1.0772396056600306e-22	5	14	8.233701385928168e-20	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0030163	BP	e	protein catabolic process	14/14	208/6920	3.1831936392096218e-22	5	14	2.085446575630761e-19	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0051603	BP	e	proteolysis involved in protein catabolic process	14/14	250/6920	4.5121302584425754e-21	6	14	2.5865786706522064e-18	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0006508	BP	e	proteolysis	14/14	394/6920	3.0178966274876034e-18	5	14	1.5377859926286833e-15	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0009057	BP	e	macromolecule catabolic process	14/14	447/6920	1.81642579622025e-17	4	14	8.330128701466068e-15	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0009056	BP	e	catabolic process	14/14	916/6920	4.649514625294795e-13	3	14	1.9384249156001753e-10	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0019538	BP	e	protein metabolic process	14/14	1267/6920	4.4853702773426904e-11	4	14	1.7141590076577983e-08	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0043170	BP	e	macromolecule metabolic process	14/14	2675/6920	1.6291589383811578e-06	3	14	0.0005747171454935377	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0080129	BP	e	proteasome core complex assembly	2/14	4/6920	2.275454789234835e-05	7	2	0.007453739759593538	PRE2, PRE9
GO:0044238	BP	e	primary metabolic process	14/14	3320/6920	3.374758054542263e-05	3	14	0.01031776029208721	PRE1, PRE10, PRE2, PRE3, PRE4, PRE5, PRE6, PRE7, PRE8, PRE9, PUP1, PUP2, PUP3, SCL1
GO:0043248	BP	e	proteasome assembly	3/14	34/6920	3.802230153902165e-05	6	3	0.010898142178622078	PRE2, PRE4, PRE9
