# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0034272	CC	e	phosphatidylinositol 3-kinase complex, class III, type II	4/4	4/6920	1.0475227972442794e-14	7	4	9.899090433958439e-12	VPS15, VPS30, VPS34, VPS38
GO:0005942	CC	e	phosphatidylinositol 3-kinase complex	4/4	6/6920	1.5712841958664185e-13	5	4	4.949545216979218e-11	VPS15, VPS30, VPS34, VPS38
GO:0035032	CC	e	phosphatidylinositol 3-kinase complex, class III	4/4	6/6920	1.5712841958664185e-13	6	4	4.949545216979218e-11	VPS15, VPS30, VPS34, VPS38
GO:0034271	CC	e	phosphatidylinositol 3-kinase complex, class III, type I	3/4	5/6920	7.244143904342812e-10	7	3	1.7114289974009892e-07	VPS15, VPS30, VPS34
GO:0010008	CC	e	endosome membrane	4/4	101/6920	4.276957016938598e-08	6	4	8.08344876201395e-06	VPS15, VPS30, VPS34, VPS38
GO:0061695	CC	e	transferase complex, transferring phosphorus-containing groups	4/4	135/6920	1.3861696334671997e-07	4	4	2.1832171727108394e-05	VPS15, VPS30, VPS34, VPS38
GO:0030659	CC	e	cytoplasmic vesicle membrane	4/4	149/6920	2.0657150609179983e-07	5	4	2.5069786805233406e-05	VPS15, VPS30, VPS34, VPS38
GO:0012506	CC	e	vesicle membrane	4/4	150/6920	2.1223099940938334e-07	4	4	2.5069786805233406e-05	VPS15, VPS30, VPS34, VPS38
GO:0005768	CC	e	endosome	4/4	175/6920	3.9547049600153486e-07	7	4	4.1524402080161156e-05	VPS15, VPS30, VPS34, VPS38
GO:0000329	CC	e	fungal-type vacuole membrane	4/4	220/6920	9.9479882743724e-07	7	4	8.54622629025629e-05	VPS15, VPS30, VPS34, VPS38
GO:0098852	CC	e	lytic vacuole membrane	4/4	220/6920	9.9479882743724e-07	6	4	8.54622629025629e-05	VPS15, VPS30, VPS34, VPS38
GO:0031410	CC	e	cytoplasmic vesicle	4/4	279/6920	2.5881538677315655e-06	6	4	0.00017491499411002151	VPS15, VPS30, VPS34, VPS38
GO:0097708	CC	e	intracellular vesicle	4/4	279/6920	2.5881538677315655e-06	5	4	0.00017491499411002151	VPS15, VPS30, VPS34, VPS38
GO:0044232	CC	e	organelle membrane contact site	3/4	61/6920	2.591333246074393e-06	2	3	0.00017491499411002151	VPS15, VPS30, VPS34
GO:0031982	CC	e	vesicle	4/4	284/6920	2.77979292587342e-06	4	4	0.00017512695433002546	VPS15, VPS30, VPS34, VPS38
GO:0005774	CC	e	vacuolar membrane	4/4	290/6920	3.0235869813397617e-06	5	4	0.00017858060608537965	VPS15, VPS30, VPS34, VPS38
GO:0098796	CC	e	membrane protein complex	4/4	336/6920	5.46420552803434e-06	2	4	0.0003037455425877913	VPS15, VPS30, VPS34, VPS38
GO:0120095	CC	e	vacuole-isolation membrane contact site	2/4	9/6920	9.010485539495334e-06	3	2	0.000473050490823505	VPS15, VPS30
GO:1990234	CC	e	transferase complex	4/4	410/6920	1.2153852981617907e-05	3	4	0.0006044942667173117	VPS15, VPS30, VPS34, VPS38
GO:0071561	CC	e	nucleus-vacuole junction	2/4	13/6920	1.950766147146669e-05	3	2	0.0009217370045268012	VPS15, VPS34
GO:0098588	CC	e	bounding membrane of organelle	4/4	635/6920	7.029687400849772e-05	4	4	0.003163359330382397	VPS15, VPS30, VPS34, VPS38
GO:0000407	CC	e	phagophore assembly site	2/4	41/6920	0.0002039744124654872	2	2	0.008761628171812972	VPS30, VPS34
GO:0005794	CC	e	Golgi apparatus	3/4	265/6920	0.00021588345884562772	5	3	0.008869994287352965	VPS15, VPS34, VPS38
GO:1902494	CC	e	catalytic complex	4/4	851/6920	0.00022730253010368705	2	4	0.008950037122832677	VPS15, VPS30, VPS34, VPS38
GO:0031090	CC	e	organelle membrane	4/4	1298/6920	0.001233223182368261	3	4	0.04661583629352027	VPS15, VPS30, VPS34, VPS38
