YMR056C	YNR056C
YLR027C	YLR314C
YLR027C	YMR059W
YMR072W	YGL127C
YJR108W	YHR114W
YNR016C	YER179W
YNR016C	YDL225W
YNR016C	YDL047W
YLR131C	YBR160W
YLR131C	YPR086W
YLR131C	YMR304W
YLR304C	YNL192W
YLR304C	YDR480W
YLR304C	YOR005C
YLR304C	YJR035W
YLR304C	YMR059W
YLR304C	YOL006C
YKL192C	YDL239C
YKL192C	YDR084C
YFL039C	YMR092C
YFL039C	YJL081C
YFL039C	YBR200W
YFL039C	YNL271C
YFL039C	YLL050C
YFL039C	YJL005W
YFL039C	YCL027W
YFL039C	YPL242C
YFL039C	YOR181W
YFL039C	YDL002C
YFL039C	YER125W
YFL039C	YDR388W
YFL039C	YDR129C
YFL039C	YOR367W
YFL039C	YNL243W
YFL039C	YNL138W
YFL039C	YHL007C
YFL039C	YIL138C
YFL039C	YGR080W
YFL039C	YEL013W
YFL039C	YLR337C
YDR448W	YDR216W
YDR448W	YOR023C
YDR448W	YHR166C
YDR448W	YDL165W
YDR448W	YPL181W
YDR448W	YBR278W
YDR448W	YEL009C
YDR448W	YGR252W
YDR448W	YDR392W
YDR448W	YGR274C
YDR448W	YBR198C
YMR303C	YLR216C
YMR303C	YLR097C
YMR303C	YKL189W
YMR303C	YDR499W
YMR303C	YHR135C
YMR303C	YFL042C
YMR083W	YML058W
YBR145W	YDR499W
YJR105W	YDL047W
YJR105W	YLR301W
YDR216W	YER177W
YDR216W	YGR252W
YDR216W	YPR086W
YDR216W	YGR274C
YDR216W	YBR198C
YCR010C	YFL055W
YCR010C	YJR040W
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YML042W
YDL239C	YBR160W
YDL239C	YNL225C
YDL239C	YPL049C
YDL239C	YBR072W
YDL239C	YDR148C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YOR373W
YDL239C	YPL124W
YDL239C	YHR184W
YDL239C	YAL028W
YDL239C	YGR268C
YDL239C	YKL023W
YDL239C	YLR072W
YDL239C	YMR124W
YMR282C	YOL123W
YER017C	YBR034C
YDR085C	YPL242C
YDR085C	YMR059W
YDR214W	YBR217W
YDR214W	YDL101C
YDR214W	YJL030W
YDR214W	YER173W
YDR214W	YOL052C
YOR023C	YOL009C
YOR023C	YLR424W
YLR109W	YMR022W
YLR109W	YNL312W
YLR109W	YLR340W
YLR109W	YMR059W
YLR109W	YJL141C
YLR109W	YHR135C
YMR092C	YLL050C
YMR092C	YNL138W
YBR059C	YMR144W
YDR264C	YPL242C
YDR264C	YHR135C
YGL021W	YLL015W
YGL021W	YLR133W
YBR158W	YGR163W
YGL156W	YOL082W
YGL156W	YKL103C
YPR128C	YMR306W
YPR128C	YNL121C
YPR128C	YGL114W
YBR231C	YNR030W
YBR231C	YJR091C
YBR231C	YGL070C
YPR180W	YDR510W
YNL172W	YLR127C
YNL172W	YDR118W
YNL172W	YHR166C
YNL172W	YHR135C
YLR127C	YDR118W
YLR127C	YHR166C
YLR127C	YER179W
YLR127C	YGR052W
YDR118W	YHR166C
YKL157W	YHR114W
YBR286W	YPL200W
YBR286W	YGL100W
YLL042C	YBR217W
YLL042C	YJR091C
YBR217W	YMR159C
YBR217W	YPL149W
YBR217W	YHR171W
YBR217W	YGL105W
YBR217W	YDR127W
YBR217W	YPR049C
YBR217W	YLR423C
YBR217W	YDR022C
YBR217W	YLR216C
YBR217W	YMR319C
YBR217W	YBR011C
YBR217W	YAR031W
YBR217W	YLR059C
YBR217W	YHR027C
YBR217W	YDL147W
YBR217W	YPR108W
YBR217W	YKL145W
YBR217W	YBR080C
YBR217W	YHR033W
YBR217W	YLR424W
YBR217W	YNL208W
YMR159C	YPL149W
YMR159C	YGR097W
YMR159C	YMR048W
YMR159C	YLR288C
YMR159C	YPL070W
YMR159C	YDR510W
YHR171W	YKL134C
YHR171W	YMR183C
YBL037W	YJR058C
YKL114C	YOR264W
YNL094W	YJL020C
YNL094W	YHR114W
YNL094W	YLL050C
YNL094W	YGR196C
YNL094W	YGR136W
YNL094W	YPL004C
YNL094W	YKL085W
YNL094W	YDR162C
YNL094W	YMR105C
YNL094W	YDR388W
YNL094W	YNL243W
YNL094W	YBL106C
YNL094W	YAL049C
YNL094W	YHR016C
YJR058C	YJR091C
YBR043C	YGR157W
YPR192W	YFL062W
YPR192W	YPL189W
YPR192W	YHR140W
YIL062C	YLR370C
YIL062C	YNR035C
YLR370C	YNR035C
YLR370C	YJR091C
YGL105W	YCR002C
YGL105W	YMR059W
YNR035C	YHR114W
YNR035C	YBR109C
YNR035C	YDL225W
YNR019W	YDL006W
YDL137W	YHR188C
YDL137W	YDR007W
YDL137W	YGR052W
YHR018C	YGL137W
YMR042W	YDR173C
YDR173C	YDL017W
YDR127W	YHR082C
YDR127W	YJR022W
YDR127W	YGL048C
YHR137W	YBR198C
YHR137W	YMR152W
YJL081C	YGL237C
YJL081C	YDR225W
YJL081C	YDR224C
YJL081C	YDL002C
YJL081C	YDR146C
YLR085C	YDL237W
YOR141C	YDL002C
YOR058C	YBR160W
YNL008C	YJR091C
YNL008C	YBR298C
YNL008C	YNL260C
YGR097W	YKL116C
YKL052C	YLR288C
YKL052C	YMR077C
YPR049C	YGR113W
YPR185W	YEL013W
YLR423C	YMR068W
YLR423C	YDR022C
YLR423C	YGR113W
YLR423C	YDR052C
YLR423C	YKL002W
YLR423C	YGL237C
YLR423C	YNL182C
YLR423C	YDR148C
YLR423C	YPL174C
YLR423C	YNL078W
YLR423C	YJL041W
YLR423C	YGR119C
YLR423C	YOR158W
YLR423C	YNL090W
YLR423C	YJL036W
YLR423C	YGL127C
YLR423C	YPL124W
YLR423C	YMR017W
YLR423C	YBL106C
YLR423C	YGL212W
YLR423C	YDR259C
YLR423C	YBR270C
YLR423C	YLR108C
YLR423C	YMR124W
YLR423C	YMR204C
YLR423C	YOR164C
YLR423C	YPL159C
YFR021W	YLR094C
YFR021W	YER162C
YFR021W	YHR103W
YFR021W	YDL047W
YFR021W	YML059C
YDL113C	YBR160W
YDL113C	YPL174C
YDL113C	YJL036W
YDL113C	YLR424W
YDR384C	YBR199W
YDR384C	YMR009W
YLR393W	YMR279C
YNL315C	YJR121W
YNL315C	YDL165W
YPL271W	YJR121W
YPL271W	YJR091C
YJR121W	YBR039W
YJR121W	YPL078C
YJR121W	YKL016C
YJR121W	YDL181W
YBR039W	YFR028C
YBR039W	YPL256C
YBR039W	YGL237C
YBR039W	YMR059W
YBR039W	YDL047W
YBR039W	YML058W
YPL078C	YER100W
YPL078C	YMR284W
YKL016C	YFR028C
YNL259C	YDR270W
YCL038C	YHR178W
YCL038C	YMR009W
YIL124W	YGL137W
YBR068C	YDL212W
YBR068C	YJR001W
YJL020C	YPR184W
YJL020C	YLR258W
YJL020C	YBL002W
YJL020C	YOR181W
YJL020C	YMR109W
YJL020C	YBL105C
YJL020C	YGR048W
YJL020C	YLR337C
YER167W	YBR160W
YER167W	YOL108C
YIL033C	YIL035C
YIL033C	YMR022W
YIL033C	YBL106C
YIL033C	YPR086W
YIL033C	YJL164C
YIL033C	YHR135C
YIL033C	YNL093W
YLR399C	YDR328C
YLR399C	YDR410C
YLR399C	YOR338W
YBR200W	YBR160W
YBR200W	YJL157C
YBR200W	YOR181W
YBR200W	YGL233W
YBR200W	YHL007C
YPL115C	YPL161C
YPL115C	YBR160W
YPL115C	YDR141C
YPL115C	YGR270W
YPL161C	YJR076C
YPL161C	YLL038C
YPL161C	YNL090W
YPL161C	YKR055W
YPL161C	YER047C
YPL161C	YGL126W
YIL004C	YIL109C
YIL004C	YGL137W
YIL004C	YDR189W
YJR053W	YFR028C
YJR053W	YMR001C
YJR053W	YMR319C
YJR053W	YLR389C
YOR198C	YLR128W
YGR282C	YDL225W
YGR282C	YDL047W
YCL029C	YKL103C
YCL029C	YPL124W
YCL029C	YLR045C
YCL029C	YML085C
YNR056C	YDR456W
YER177W	YDR099W
YER177W	YIL159W
YER177W	YDL117W
YER177W	YLR258W
YER177W	YDR001C
YER177W	YDR028C
YER177W	YDR006C
YER177W	YHL007C
YER177W	YBL034C
YER177W	YIL028W
YDR099W	YLR267W
YDR099W	YNL042W
YDR099W	YNL293W
YDR099W	YDR001C
YDR099W	YBR050C
YDR099W	YHL007C
YDR099W	YLR177W
YJR025C	YLR288C
YNL271C	YBR160W
YNL271C	YDR021W
YNL271C	YCL027W
YNL271C	YMR109W
YIL159W	YLR310C
YIL159W	YCL027W
YIL159W	YMR109W
YIL159W	YKR055W
