# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0004805	MF	e	trehalose-phosphatase activity	4/4	4/6920	1.0475227972442794e-14	8	4	2.709941476470951e-11	TPS1, TPS2, TPS3, TSL1
GO:0050308	MF	e	sugar-phosphatase activity	4/4	11/6920	3.4568252309061205e-12	7	4	2.9809356241180444e-09	TPS1, TPS2, TPS3, TSL1
GO:0019203	MF	e	carbohydrate phosphatase activity	4/4	11/6920	3.4568252309061205e-12	6	4	2.9809356241180444e-09	TPS1, TPS2, TPS3, TSL1
GO:0003825	MF	e	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	3/4	3/6920	7.245715188538681e-11	7	3	4.686166298187392e-08	TPS1, TPS3, TSL1
GO:0035251	MF	e	UDP-glucosyltransferase activity	3/4	14/6920	2.6342946176679554e-08	6	3	1.3629840351814e-05	TPS1, TPS3, TSL1
GO:0046527	MF	e	glucosyltransferase activity	3/4	17/6920	4.919607015433978e-08	5	3	2.121170558154617e-05	TPS1, TPS3, TSL1
GO:0016791	MF	e	phosphatase activity	4/4	126/6920	1.0484786617967644e-07	5	4	3.8748775686688996e-05	TPS1, TPS2, TPS3, TSL1
GO:0042578	MF	e	phosphoric ester hydrolase activity	4/4	144/6920	1.7995264241032618e-07	4	4	5.40162095843657e-05	TPS1, TPS2, TPS3, TSL1
GO:0008194	MF	e	UDP-glycosyltransferase activity	3/4	26/6920	1.8791878092744155e-07	4	3	5.40162095843657e-05	TPS1, TPS3, TSL1
GO:0016788	MF	e	hydrolase activity, acting on ester bonds	4/4	342/6920	5.8669358807821776e-06	3	4	0.0015177763123583492	TPS1, TPS2, TPS3, TSL1
GO:0016758	MF	e	hexosyltransferase activity	3/4	89/6920	8.151794229791737e-06	4	3	0.0019171537884064749	TPS1, TPS3, TSL1
GO:0016757	MF	e	glycosyltransferase activity	3/4	111/6920	1.588387456734777e-05	3	3	0.0034242986254773905	TPS1, TPS3, TSL1
