# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0045275	CC	e	respiratory chain complex III	7/7	10/6920	7.983392465589927e-22	4	7	7.54430587998248e-19	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0070069	CC	e	cytochrome complex	7/7	27/6920	5.907910009348183e-18	3	7	2.7914874794170164e-15	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0098803	CC	e	respiratory chain complex	7/7	54/6920	1.1782193969631308e-15	2	7	3.711391100433862e-13	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:1902495	CC	e	transmembrane transporter complex	7/7	64/6920	4.1328438889293876e-15	3	7	9.763843687595677e-13	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:1990351	CC	e	transporter complex	7/7	82/6920	2.5292430600716298e-14	2	7	4.780269383535381e-12	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0005743	CC	e	mitochondrial inner membrane	7/7	262/6920	1.0317712034988851e-10	5	7	1.625039645510744e-08	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0019866	CC	e	organelle inner membrane	7/7	282/6920	1.736708809320712e-10	4	7	2.344556892582961e-08	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0098796	CC	e	membrane protein complex	7/7	336/6920	5.992809871327783e-10	2	7	7.079006660505943e-08	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0031966	CC	e	mitochondrial membrane	7/7	422/6920	2.9925349059425777e-09	4	7	3.142161651239706e-07	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:1902494	CC	e	catalytic complex	7/7	851/6920	4.162346281032303e-07	2	7	3.9334172355755265e-05	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0005739	CC	e	mitochondrion	7/7	1249/6920	6.154575125949013e-06	5	7	0.0005287339540019834	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0031090	CC	e	organelle membrane	7/7	1298/6920	8.062327779197256e-06	3	7	0.0006349083126117839	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0016020	CC	e	membrane	7/7	2112/6920	0.0002449685821391817	2	7	0.017807331547809748	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
GO:0032991	CC	e	protein-containing complex	7/7	2176/6920	0.00030198995259705935	1	7	0.020384321800301506	COR1, CYT1, QCR2, QCR6, QCR7, QCR8, RIP1
