YMR056C	YNR056C
YBR085W	YGL237C
YBR085W	YOR181W
YBR085W	YHR002W
YBR085W	YDL059C
YBR085W	YML058W
YBR085W	YCR061W
YFL056C	YOL018C
YNL141W	YBR280C
YNL141W	YKL086W
YHR047C	YLR148W
YBL074C	YDR283C
YLR027C	YLR314C
YMR072W	YOL004W
YMR072W	YGL127C
YCR088W	YFL039C
YCR088W	YNL020C
YCR088W	YDL029W
YCR088W	YJR065C
YCR088W	YNL298W
YCR088W	YPL204W
YCR088W	YOR367W
YCR088W	YBL007C
YCR088W	YNL138W
YCR088W	YIR003W
YCR088W	YHR016C
YNR016C	YDL047W
YNR016C	YDR398W
YNR016C	YLR386W
YLR304C	YDR480W
YLR304C	YOR005C
YLR304C	YPL204W
YLR304C	YBR136W
YLR304C	YAR007C
YLR304C	YLR262C
YKL192C	YDL239C
YKL192C	YPL163C
YAL054C	YNL189W
YAL054C	YLR049C
YFL039C	YMR092C
YFL039C	YBR200W
YFL039C	YNL271C
YFL039C	YLR319C
YFL039C	YFL024C
YFL039C	YML126C
YFL039C	YOR244W
YFL039C	YCL040W
YFL039C	YPL242C
YFL039C	YOR181W
YFL039C	YHR023W
YFL039C	YDL002C
YFL039C	YOR122C
YFL039C	YLR196W
YFL039C	YMR061W
YFL039C	YER125W
YFL039C	YOR367W
YFL039C	YNL138W
YFL039C	YNL079C
YFL039C	YIL138C
YFL039C	YEL013W
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YGL154C
YOR128C	YCR012W
YOR128C	YPR054W
YOR128C	YGL127C
YOR128C	YBR134W
YOR128C	YPR045C
YOR128C	YPR085C
YDR408C	YKL002W
YDR408C	YGL127C
YMR303C	YDL175C
YMR303C	YLR074C
YMR303C	YLR097C
YMR303C	YDR499W
YMR303C	YDR386W
YMR303C	YFL042C
YMR083W	YML058W
YMR083W	YBR074W
YGL256W	YDL101C
YGL256W	YLR146C
YER170W	YKL002W
YDR216W	YDL029W
YDR216W	YER177W
YDR216W	YDL145C
YDR216W	YER148W
YDR216W	YPR086W
YDR216W	YGR274C
YCR010C	YFL055W
YCR010C	YJR040W
YCR010C	YCR061W
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YPL255W
YDL239C	YNL225C
YDL239C	YPL049C
YDL239C	YDR273W
YDL239C	YBR072W
YDL239C	YCL032W
YDL239C	YAL028W
YDL239C	YGR268C
YDL239C	YMR124W
YDL239C	YOL083W
YDL239C	YOR324C
YMR064W	YOL123W
YMR282C	YOL123W
YLR397C	YLR074C
YER017C	YKR066C
YER017C	YBR247C
YER017C	YBR034C
YER017C	YFL018C
YDR085C	YPL242C
YFL055W	YOR076C
YDR214W	YKL011C
YDR214W	YDL101C
YDR214W	YDR138W
YDR214W	YJL030W
YDR214W	YDL200C
YDR214W	YER173W
YDR214W	YDL059C
YLR109W	YKL011C
YLR109W	YDL200C
YLR109W	YMR022W
YLR109W	YLR340W
YLR109W	YDR369C
YMR092C	YBR101C
YMR092C	YNL138W
YDL175C	YPR191W
YDL175C	YNL189W
YDL175C	YOL115W
YBR059C	YGL213C
YBR059C	YCL032W
YDR264C	YPL242C
YDR264C	YDR103W
YOR034C	YHR105W
YNL219C	YGR149W
YGL021W	YLL015W
YGL021W	YLR133W
YGL021W	YNR070W
YBR211C	YKL002W
YGL156W	YOL083W
YPR128C	YMR306W
YPR128C	YNL121C
YPR128C	YAR027W
YBR231C	YNR030W
YBR231C	YGL070C
YDL008W	YKL022C
YDL008W	YHR166C
YDL008W	YBL084C
YKL157W	YHR114W
YKL157W	YPR168W
YKL157W	YBR055C
YKL157W	YJL078C
YMR159C	YGR097W
YMR159C	YMR048W
YMR159C	YFL040W
YMR159C	YFL068W
YHR171W	YOR191W
YHR171W	YNL212W
YKL135C	YPR029C
YKL135C	YHL019C
YKL135C	YLR170C
YKL135C	YGL206C
YKL135C	YBL025W
YKL135C	YNL189W
YBL037W	YNL118C
YPR029C	YHL019C
YPR029C	YLR170C
YHL019C	YLR170C
YHL019C	YBR019C
YML022W	YER022W
YBR149W	YBR055C
YIL062C	YLR370C
YIL062C	YNR035C
YIL062C	YDL029W
YIL062C	YJR065C
YLR370C	YNR035C
YLR370C	YDL029W
YLR370C	YJR065C
YNR035C	YDL029W
YNR035C	YJR065C
YNR035C	YHR114W
YNR035C	YLR429W
YNR019W	YOR381W
YNR019W	YDL006W
YOL058W	YNL189W
YDL029W	YJR065C
YDL029W	YBR039W
YDL029W	YNL271C
YDL029W	YNL161W
YDL029W	YBR202W
YDL029W	YPR019W
YDL029W	YLR429W
YDL029W	YBR208C
YDL029W	YNL084C
YDL029W	YKL104C
YDL029W	YOR181W
YDL029W	YKL129C
YDL029W	YDR032C
YDL029W	YAR007C
YDL029W	YOR259C
YDL029W	YDL047W
YDL029W	YNL189W
YDL029W	YKL211C
YJR065C	YOR181W
YJR065C	YNR053C
YJR065C	YPR086W
YPR199C	YMR325W
YJL170C	YGL070C
YNL159C	YER022W
YGR097W	YKL116C
YKL052C	YDR016C
YKL052C	YMR077C
YDR321W	YGL095C
YOR377W	YGL127C
YOR377W	YHR178W
YPR049C	YGL180W
YBR128C	YPL120W
YLR423C	YGL180W
YLR423C	YDR022C
YLR423C	YDR052C
YLR423C	YKL002W
YLR423C	YBR102C
YLR423C	YGL237C
YLR423C	YMR032W
YLR423C	YOR232W
YLR423C	YHR023W
YLR423C	YPL174C
YLR423C	YNL078W
YLR423C	YDR383C
YLR423C	YGR119C
YLR423C	YOR158W
YLR423C	YJL117W
YLR423C	YAL032C
YLR423C	YNL090W
YLR423C	YJL036W
YLR423C	YGL127C
YLR423C	YCL032W
YLR423C	YCR082W
YLR423C	YDR357C
YLR423C	YLR108C
YLR423C	YMR124W
YLR423C	YOR164C
YFR021W	YNL242W
YFR021W	YER162C
YFR021W	YHR103W
YFR021W	YDL047W
YFR021W	YML059C
YDL113C	YPL174C
YDL113C	YBL025W
YDL113C	YJL036W
YDL113C	YLR424W
YLR189C	YGR220C
YNL223W	YAR019C
YNL223W	YML085C
YNL223W	YFL037W
YDR384C	YPR156C
YDR384C	YMR009W
YLR295C	YJR121W
YLR295C	YIL124W
YLR295C	YIL004C
YLR295C	YIL111W
YLR295C	YMR238W
YLR295C	YKL002W
YLR295C	YHR193C
YLR295C	YKL060C
YLR295C	YGR187C
YLR295C	YNL009W
YLR295C	YJL100W
YLR295C	YNL328C
YLR295C	YJL001W
YLR295C	YJL078C
YLR295C	YJL166W
YLR295C	YJL140W
YLR295C	YGL048C
YLR295C	YGR009C
YLR295C	YER116C
YLR295C	YML058W
YLR295C	YPR182W
YLR295C	YML034W
YLR295C	YIL143C
YLR295C	YPR086W
YLR295C	YKL080W
YLR295C	YJR102C
YLR295C	YAR060C
YLR295C	YAR035W
YLR295C	YDL118W
YLR295C	YDR445C
YLR295C	YDR455C
YLR295C	YFR017C
YLR295C	YGL226W
YLR295C	YGL250W
YLR295C	YGR122W
YLR295C	YGR153W
YLR295C	YHR138C
YLR295C	YHR140W
YLR295C	YIL032C
YLR295C	YIL059C
YLR295C	YJR083C
YLR295C	YJR141W
YLR295C	YMR090W
YLR295C	YMR141C
YLR295C	YOR324C
YLR295C	YPR118W
YPL271W	YJR121W
YJR121W	YBR039W
YJR121W	YPL078C
YJR121W	YKL016C
YJR121W	Q0085
YJR121W	Q0130
YJR121W	YDR322C-A
YJR121W	YBR271W
YBR039W	YFR028C
YBR039W	YPL256C
YBR039W	YDL145C
YBR039W	YGL237C
YBR039W	YDL059C
YBR039W	YDL047W
YBR039W	YML058W
YPL078C	Q0085
YPL078C	YPL204W
YPL078C	YER100W
YPL078C	YMR284W
YKL016C	Q0085
YKL016C	YFR028C
YNL259C	YDR270W
YCL038C	YHR178W
YCL038C	YMR009W
YNL101W	YJL117W
YNL101W	YDL047W
YNL101W	YIL016W
YNL101W	YHR140W
YNL101W	YBR183W
YIL124W	YGL137W
YJL020C	YDR155C
YJL020C	YPR184W
YJL020C	YLR258W
YJL020C	YMR032W
YJL020C	YOR181W
YJL020C	YKL129C
YJL020C	YBL105C
YJL020C	YGR048W
YJL020C	YDL129W
YJL020C	YIR003W
YPL255W	YNL188W
YPL255W	YGL075C
YPL255W	YML092C
YPL255W	YLR392C
YIL033C	YIL035C
YIL033C	YJR017C
YIL033C	YMR022W
YIL033C	YNL189W
YIL033C	YPR086W
YIL033C	YJL164C
YIL033C	YNL093W
YLR399C	YIL002C
YLR399C	YDR328C
YLR399C	YOR338W
YBR200W	YOR181W
YBR200W	YGL233W
YBR200W	YDR103W
YBR200W	YEL043W
YPL115C	YPL161C
YPL115C	YNL298W
YPL115C	YDR141C
YPL115C	YIL055C
YPL115C	YMR273C
YPL161C	YJR076C
YPL161C	YHR061C
YPL161C	YNL090W
YPL161C	YKR055W
YPL161C	YER047C
YPL161C	YGL126W
YPL161C	YLR049C
YIL004C	YLR078C
YIL004C	YDL145C
YIL004C	YFR051C
YIL004C	YPL218W
YIL004C	YIL109C
YIL004C	YDR238C
YIL004C	YGL137W
YIL004C	YDR189W
YIL004C	YAR027W
YIL004C	YDR100W
YKR068C	YDR407C
YKR068C	YMR218C
YKR068C	YDR246W
