Q0085	P00854	0
Q0115	Q9ZZW7	1
Q0120	P03879	2
Q0130	P61829	3
YAL001C	P34111	4
YAL002W	P39702	5
YAL003W	P32471	6
YAL005C	P10591	7
YAL007C	P39704	8
YAL008W	P18411	9
YAL009W	P18410	10
YAL010C	P18409	11
YAL011W	P31376	12
YAL012W	P31373	13
YAL013W	P31385	14
YAL014C	P31377	15
YAL015C	P31378	16
YAL016W	P31383	17
YAL017W	P31374	18
YAL018C	P31379	19
YAL019W	P31380	20
YAL020C	P31386	21
YAL021C	P31384	22
YAL022C	P31381	23
YAL023C	P31382	24
YAL024C	P07866	25
YAL025C	P10962	26
YAL026C	P39524	27
YAL027W	P39735	28
YAL028W	P39734	29
YAL029C	P32492	30
YAL030W	P31109	31
YAL031C	P39732	32
YAL032C	P28004	33
YAL034C	P28003	34
YAL034W-A	P39731	35
YAL035W	P39730	36
YAL036C	P39729	37
YAL038W	P00549	38
YAL039C	P06182	39
YAL040C	P13365	40
YAL041W	P11433	41
YAL042W	P39727	42
YAL043C	Q01329	43
YAL044C	P39726	44
YAL046C	P39724	45
YAL047C	P39723	46
YAL048C	P39722	47
YAL049C	P39721	48
YAL051W	P39720	49
YAL053W	P39719	50
YAL054C	Q01574	51
YAL055W	P39718	52
YAL056W	P39717	53
YAL058W	P27825	54
YAL059W	P39715	55
YAL060W	P39714	56
YAL061W	P39713	57
YAL062W	P39708	58
YAL063C	P39712	59
YAL064C-A	Q6B2U8	60
YAL064W-B	O13512	61
YAL065C	O13511	62
YAL067C	P39709	63
YAL068C	P0CE92	64
YAR002W	P39705	65
YAR003W	P39706	66
YAR007C	P22336	67
YAR008W	P39707	68
YAR014C	P27637	69
YAR015W	P27616	70
YAR018C	P22209	71
YAR019C	P27636	72
YAR023C	D6VPM8	73
YAR027W	P39547	74
YAR028W	P39548	75
YAR031W	P39551	76
YAR033W	P39552	77
YAR035W	P80235	78
YAR042W	P35845	79
YAR050W	P32768	80
YAR061W	P0CX90	81
YAR062W	P0CI66	82
YAR064W	P39563	83
YAR066W	P0CX18	84
YAR068W	P39564	85
YAR071W	P35842	86
YBL001C	P35195	87
YBL002W	P02294	88
YBL003C	P04912	89
YBL005W	Q12490	90
YBL006C	P38210	91
YBL007C	P32790	92
YBL008W	P32479	93
YBL009W	P32789	94
YBL010C	P32788	95
YBL011W	P32784	96
YBL013W	P32785	97
YBL014C	P32786	98
YBL015W	P32316	99
YBL016W	P16892	100
YBL017C	P32319	101
YBL018C	P38208	102
YBL019W	P38207	103
YBL020W	P38206	104
YBL021C	P13434	105
YBL022C	P36775	106
YBL023C	P29469	107
YBL024W	P38205	108
YBL025W	P38204	109
YBL026W	P38203	110
YBL027W	P0CX83	111
YBL028C	P38202	112
YBL029W	P38201	113
YBL030C	P18239	114
YBL031W	P38200	115
YBL032W	P38199	116
YBL033C	P38066	117
YBL034C	P38198	118
YBL035C	P38121	119
YBL036C	P38197	120
YBL037W	P38065	121
YBL038W	P38064	122
YBL039C	P28274	123
YBL040C	P18414	124
YBL041W	P23724	125
YBL042C	P38196	126
YBL043W	P38195	127
YBL044W	P38194	128
YBL045C	P07256	129
YBL047C	P34216	130
YBL049W	P38191	131
YBL050W	P32602	132
YBL051C	P34217	133
