YMR056C	YNR056C
YNL141W	YBR280C
YMR072W	YGL127C
YJR108W	YHR114W
YCR088W	YNL094W
YCR088W	YNL020C
YCR088W	YDL029W
YCR088W	YJR065C
YCR088W	YPL204W
YCR088W	YDR342C
YCR088W	YMR109W
YCR088W	YDR388W
YCR088W	YDR129C
YCR088W	YNL243W
YCR088W	YNL138W
YCR088W	YCR084C
YCR088W	YHR016C
YER045C	YGR247W
YER045C	YGL181W
YNR016C	YER179W
YNR016C	YDL047W
YNR016C	YIL061C
YLR304C	YDR480W
YLR304C	YOR005C
YLR304C	YPL204W
YLR304C	YBR136W
YLR304C	YJR035W
YLR304C	YAR007C
YLR304C	YOL006C
YLR304C	YIL007C
YLR304C	YLR262C
YLR028C	YLR373C
YGL234W	YOR298W
YMR303C	YDL175C
YMR303C	YLR074C
YMR303C	YLR216C
YMR303C	YLR097C
YMR303C	YKL189W
YMR303C	YDR499W
YMR303C	YHR135C
YDR216W	YDL029W
YDR216W	YPR086W
YCR010C	YFL055W
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YBR160W
YDL239C	YLR098C
YDL239C	YNL225C
YDL239C	YPL049C
YDL239C	YBR072W
YDL239C	YDR148C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YOR373W
YDL239C	YDL030W
YDL239C	YKL042W
YDL239C	YNR012W
YDL239C	YAL028W
YDL239C	YMR124W
YDL239C	YOR324C
YDR085C	YHR107C
YDR085C	YPL242C
YBR132C	YHR042W
YFL055W	YOR076C
YLR109W	YDR369C
YLR109W	YJL141C
YLR109W	YHR135C
YMR092C	YLR102C
YMR092C	YLL050C
YMR092C	YBR101C
YMR092C	YNL138W
YDL175C	YGR165W
YDL175C	YCR077C
YDL175C	YMR125W
YDL175C	YOL115W
YBR059C	YML014W
YDR264C	YDL226C
YDR264C	YPL242C
YDR264C	YJR086W
YDR264C	YDR103W
YDR264C	YHR135C
YNL148C	YML085C
YBR243C	YML075C
YOR067C	YNL130C
YNL219C	YGR149W
YBR211C	YLR052W
YBR211C	YBR107C
YBR158W	YGR163W
YBR158W	YDR111C
YPR128C	YAR027W
YCL050C	YJR091C
YDL008W	YNL172W
YDL008W	YLR127C
YDL008W	YDR118W
YDL008W	YOR249C
YDL008W	YLR102C
YDL008W	YHR166C
YDL008W	YFR036W
YDL008W	YBL084C
YNL172W	YLR127C
YNL172W	YDR118W
YNL172W	YOR249C
YNL172W	YHR166C
YNL172W	YFR036W
YNL172W	YBL084C
YNL172W	YHR135C
YLR127C	YDR118W
YLR127C	YOR249C
YLR127C	YLR102C
YLR127C	YHR166C
YLR127C	YFR036W
YLR127C	YBL084C
YLR127C	YER179W
YLR127C	YGR052W
YDR118W	YOR249C
YDR118W	YLR102C
YDR118W	YHR166C
YDR118W	YFR036W
YDR118W	YBL084C
YOR249C	YLR102C
YOR249C	YHR166C
YOR249C	YFR036W
YOR249C	YBL084C
YLR102C	YHR166C
YLR102C	YML092C
YLL042C	YJR091C
YMR159C	YPL149W
YMR159C	YGR097W
YMR159C	YLR288C
YMR159C	YPL070W
YMR159C	YDR510W
YMR159C	YFL040W
YMR159C	YFL068W
YPL149W	YJL167W
YHR171W	YNR007C
YHR171W	YKL134C
YHR171W	YOR191W
YHR171W	YNL212W
YJR005W	YBL037W
YJR005W	YJR058C
YJR005W	YPL248C
YBL037W	YJR058C
YBL037W	YNL118C
YPL259C	YLR170C
YPL259C	YOL077C
YPL259C	YCL059C
YPL259C	YLR196W
YPL259C	YLR329W
YPL259C	YHR027C
YPL259C	YKL010C
YHL019C	YLR170C
YHL019C	YBR019C
YHL019C	YFR045W
YBR288C	YPL016W
YBR288C	YBR014C
YBL019W	YEL009C
YNL094W	YJL020C
YNL094W	YHR114W
YNL094W	YLL050C
YNL094W	YLR429W
YNL094W	YGR196C
YNL094W	YBR133C
YNL094W	YKL085W
YNL094W	YDR162C
YNL094W	YHR179W
YNL094W	YMR105C
YNL094W	YCR009C
YNL094W	YDR388W
YNL094W	YNL243W
YNL094W	YBL106C
YNL094W	YAL049C
YNL094W	YHR016C
YJL075C	YDL100C
YJR058C	YJR091C
YML022W	YLR447C
YBR043C	YGR157W
YBR149W	YDL211C
YKL013C	YNR035C
YKL013C	YBR234C
YKL013C	YDL029W
YKL013C	YJR065C
YKL013C	YMR109W
YKL013C	YDR063W
YNR035C	YBR234C
YNR035C	YDL029W
YNR035C	YJR065C
YNR035C	YHR114W
YNR035C	YBR109C
YNR035C	YLR429W
YNR035C	YGL208W
YBR234C	YDL029W
YBR234C	YJR065C
YBR234C	YMR109W
YBR234C	YMR309C
YBR234C	YLR453C
YHR013C	YBR084W
YNR019W	YDL006W
YNR019W	YJR117W
YDL192W	YDL137W
YDL192W	YIL004C
YDL192W	YAL026C
YDL192W	YHR188C
YDL192W	YNL287W
YDL192W	YDR477W
YDL192W	YGR130C
YDL137W	YHR188C
YDL137W	YDR007W
YDL137W	YGR052W
YOL058W	YBR160W
YOL058W	YDR388W
YHR018C	YGL137W
YMR042W	YDR173C
YNL020C	YDR259C
YDR380W	YOR382W
YHR137W	YDR092W
YHR137W	YMR152W
YDL029W	YJR065C
YDL029W	YBR039W
YDL029W	YPR019W
YDL029W	YLR429W
YDL029W	YBR208C
YDL029W	YNL084C
YDL029W	YKL104C
YDL029W	YOR181W
YDL029W	YPL140C
YDL029W	YMR109W
YDL029W	YPR178W
YDL029W	YAR007C
YDL029W	YIL066C
YDL029W	YOR261C
YDL029W	YDR190C
YDL029W	YDL047W
YDL029W	YDR260C
YJR065C	YOR181W
YJR065C	YMR109W
YJR065C	YPR086W
YJL081C	YGL237C
