YMR056C	YNR056C
YFL056C	YNL201C
YFL056C	YOL018C
YNL141W	YBR280C
YNL141W	YLR225C
YBL074C	YDL208W
YKL106W	YLR447C
YJR108W	YHR114W
YJR108W	YDL130W
YLR131C	YNL157W
YAL054C	YNL189W
YAL054C	YLR049C
YLR153C	YJR091C
YLR153C	YPR165W
YOR128C	YPR111W
YOR128C	YKR026C
YOR128C	YCR012W
YOR128C	YCR067C
YOR128C	YPR054W
YOR128C	YPR088C
YOR128C	YML064C
YOR128C	YBR134W
YOR128C	YDR271C
YOR128C	YMR323W
YOR128C	YPR045C
YOR128C	YPR084W
YMR083W	YLR080W
YBR145W	YDR034C
YDR216W	YER177W
YDR216W	YGR252W
YDR216W	YOL133W
YDR216W	YDR167W
YDR216W	YGL112C
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YML042W
YDL239C	YPL049C
YDL239C	YDR273W
YDL239C	YBR072W
YDL239C	YER086W
YDL239C	YAR018C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YDL030W
YDL239C	YNL201C
YDL239C	YKL042W
YDL239C	YHR184W
YDL239C	YCL032W
YDL239C	YAL028W
YDL239C	YGR268C
YDL239C	YKL023W
YDL239C	YLR072W
YDL239C	YMR124W
YDL239C	YOL083W
YMR064W	YOL123W
YMR064W	YDR034C
YMR282C	YOL123W
YDR085C	YPL242C
YDR085C	YMR059W
YBR132C	YHR042W
YFL055W	YOR076C
YOR023C	YNL118C
YOR023C	YDL030W
YOR023C	YCR082W
YOR023C	YLR424W
YLR109W	YKL011C
YLR109W	YGL090W
YLR109W	YDL200C
YLR109W	YMR022W
YLR109W	YMR059W
YLR109W	YDR369C
YLR109W	YJL141C
YMR092C	YLR102C
YMR092C	YLL050C
YMR092C	YBR101C
YMR092C	YNL138W
YIL079C	YAL041W
YIL079C	YNL004W
YIL079C	YML056C
YIL079C	YOL115W
YBR059C	YIL095W
YBR059C	YCL032W
YBR059C	YER144C
YOR374W	YLR447C
YOL130W	YLR291C
YOL130W	YGL025C
YOL130W	YNL086W
YBR211C	YOR269W
YBR158W	YGR163W
YBR158W	YDR111C
YGL156W	YKL103C
YGL156W	YOL083W
YBR231C	YNR030W
YBR231C	YJR091C
YPR180W	YER136W
YPR180W	YDR404C
YPR180W	YDR390C
YCL050C	YJR091C
YCL050C	YJR022W
YNL172W	YLR127C
YNL172W	YBL084C
YLR127C	YLR102C
YLR127C	YBL084C
YLR127C	YER179W
YLR127C	YOL133W
YLR127C	YGR052W
YLR102C	YML092C
YKL157W	YHR114W
YKL157W	YPR168W
YKL157W	YJL078C
YBR286W	YPL200W
YBR286W	YDR311W
YLL042C	YBR217W
YLL042C	YJR091C
YBR217W	YHR171W
YBR217W	YDR127W
YBR217W	YPR049C
YBR217W	YLR423C
YBR217W	YNR007C
YBR217W	YDR022C
YBR217W	YLR216C
YBR217W	YKL104C
YBR217W	YGL245W
YBR217W	YIL125W
YBR217W	YHR201C
YBR217W	YAR031W
YBR217W	YDR465C
YBR217W	YHR200W
YBR217W	YFR004W
YBR217W	YER021W
YBR217W	YDL097C
YBR217W	YPR108W
YBR217W	YBR080C
YBR217W	YOR086C
YBR217W	YHR033W
YBR217W	YLR424W
YBR217W	YNL208W
YHR171W	YNR007C
YHR171W	YBL078C
YHR171W	YMR183C
YHR171W	YNL212W
YJR005W	YJR058C
YJR005W	YLR116W
YKL135C	YHL019C
YKL135C	YLR170C
YKL135C	YGL206C
YKL135C	YOL108C
YKL135C	YBR084W
YKL135C	YMR308C
YKL135C	YNL189W
YHL019C	YLR170C
YKL114C	YOR264W
YNL094W	YJL020C
YNL094W	YHR114W
YNL094W	YLL050C
YNL094W	YJR082C
YNL094W	YGR136W
YNL094W	YDR162C
YNL094W	YMR105C
YNL094W	YPR154W
YNL094W	YOR368W
YNL094W	YCR009C
YNL094W	YDR388W
YNL094W	YBL007C
YNL094W	YNL243W
YNL094W	YAL049C
YNL094W	YHR016C
YIL040W	YLL024C
YJL075C	YDL100C
YJL075C	YNL157W
YJR058C	YJR091C
YML022W	YER022W
YML022W	YLR447C
YPR192W	YFL062W
YPR192W	YGR295C
YPR192W	YBR106W
YPR192W	YKL065C
YPR192W	YHR140W
YIL062C	YLR370C
YIL062C	YKL013C
YIL062C	YNR035C
YIL062C	YJR065C
YLR370C	YKL013C
YLR370C	YNR035C
YLR370C	YJR065C
YLR370C	YJR091C
YKL013C	YNR035C
YKL013C	YJR065C
YKL013C	YKL129C
YKL013C	YMR109W
YKL013C	YDR063W
YNR035C	YJR065C
YNR035C	YHR114W
YNR035C	YBR109C
YNR019W	YOR381W
YNR019W	YBR106W
YNR019W	YJR117W
YDL137W	YGR052W
YOL058W	YDR388W
YOL058W	YNL189W
YHR018C	YNL189W
YDR173C	YMR043W
YPL051W	YGL183C
YPL051W	YKR030W
YPL051W	YGR242W
YPL051W	YKL206C
YDR127W	YJL008C
YDR127W	YAL007C
YDR127W	YKL104C
YDR127W	YOR136W
YDR127W	YFR024C-A
YDR127W	YJR022W
YDR127W	YER095W
YDR127W	YPL235W
YDR127W	YDR260C
YGL148W	YOL107W
YDR421W	YDL030W
YHR137W	YDR092W
YHR137W	YMR152W
YJR065C	YOR181W
YJR065C	YMR109W
YJL081C	YFL024C
YJL081C	YOR244W
YJL081C	YDR225W
YJL081C	YDL002C
YJL081C	YDR146C
YLR085C	YDL237W
YPR199C	YMR325W
YDL100C	YHR114W
YDL100C	YDR304C
YDL100C	YML101C
YDL100C	YPR037C
YDL100C	YHR128W
YDL100C	YML048W
YDL100C	YJL153C
YDL100C	YKL062W
YDL100C	YER083C
YDL100C	YDR513W
YDL100C	YDR415C
YDL100C	YHR180W
YDL100C	YOL111C
YDL100C	YOL159C
YDL100C	YOR164C
YLR242C	YBR023C
YJL115W	YJL026W
YJL115W	YGR180C
YJL115W	YMR200W
YJL115W	YDR181C
YNL008C	YJR091C
YNL008C	YBR298C
YGR097W	YKL116C
YGR097W	YDR167W
YDR321W	YPL070W
YDR321W	YML064C
YDR321W	YGL095C
YPR049C	YGL180W
YBR128C	YDL185W
YBR128C	YPL120W
YLR423C	YGL180W
YLR423C	YMR213W
YLR423C	YDR022C
YLR423C	YMR025W
YLR423C	YKR083C
YLR423C	YNL230C
YLR423C	YLR291C
YLR423C	YPR179C
YLR423C	YER127W
YLR423C	YIR017C
YLR423C	YHR023W
YLR423C	YPL174C
YLR423C	YNL078W
YLR423C	YDR383C
YLR423C	YJL041W
YLR423C	YJL061W
YLR423C	YOR158W
YLR423C	YJL117W
YLR423C	YDR473C
YLR423C	YAL032C
YLR423C	YPR165W
YLR423C	YJL036W
YLR423C	YMR017W
YLR423C	YCL032W
YLR423C	YML064C
YLR423C	YDR311W
YLR423C	YGL212W
YLR423C	YCL063W
YLR423C	YCR082W
YLR423C	YDR357C
YLR423C	YFR008W
YLR423C	YKL050C
YLR423C	YLR108C
YLR423C	YMR124W
YLR423C	YOR164C
YLR423C	YPL077C
YLR423C	YPL159C
YFR021W	YGL190C
YFR021W	YDR034C
YFR021W	YER162C
YFR021W	YBL103C
YFR021W	YFR040W
YFR021W	YCL063W
YGL180W	YML112W
YDL113C	YPL174C
YDL113C	YFR040W
YDL113C	YJL036W
YDL113C	YLR424W
YLR189C	YBL038W
YNR007C	YBL078C
YNR007C	YHR114W
YNL223W	YBL078C
YNL223W	YAR019C
YDL149W	YKL064W
YDR384C	YBR199W
