YFL056C	YOL018C
YHR047C	YLR148W
YBL074C	YDR283C
YLR027C	YLR314C
YMR072W	YGL127C
YJR108W	YDL130W
YNR016C	YER179W
YNR016C	YMR106C
YLR131C	YPR086W
YLR131C	YMR304W
YLR131C	YNL157W
YBL015W	YJR035W
YBL015W	YJR068W
YLR304C	YDR480W
YLR304C	YOR005C
YLR304C	YMR049C
YLR304C	YJR035W
YLR304C	YAR007C
YLR304C	YIL007C
YLR304C	YLR262C
YKL192C	YDR084C
YLR153C	YJR091C
YLR153C	YPR165W
YFL039C	YBR200W
YFL039C	YNL271C
YFL039C	YLR319C
YFL039C	YJL005W
YFL039C	YCL027W
YFL039C	YDL226C
YFL039C	YCL040W
YFL039C	YOR181W
YFL039C	YHR023W
YFL039C	YDL002C
YFL039C	YDR129C
YFL039C	YOR367W
YFL039C	YNL243W
YFL039C	YNL138W
YFL039C	YIL138C
YFL039C	YGR080W
YFL039C	YEL013W
YFL039C	YLR337C
YGL234W	YPR154W
YGL234W	YBR049C
YGL234W	YJR068W
YMR303C	YLR074C
YMR303C	YLR229C
YMR303C	YLR097C
YMR303C	YKL189W
YMR303C	YDR386W
YMR303C	YHR135C
YMR083W	YLR080W
YGL256W	YDL220C
YGL256W	YDL101C
YGL256W	YJR035W
YDR216W	YER177W
YDR216W	YOL133W
YDR216W	YPR086W
YDR216W	YMR106C
YCR010C	YFL055W
YCR010C	YCR061W
YLR227C	YOR089C
YBR132C	YHR042W
YLR109W	YKL011C
YLR109W	YDL200C
YLR109W	YMR022W
YLR109W	YLR340W
YLR109W	YDR369C
YLR109W	YJL141C
YLR109W	YHR135C
YIL079C	YML056C
YIL079C	YMR216C
YIL079C	YOL115W
YDR264C	YDL226C
YDR264C	YOR212W
YDR264C	YHR135C
YDR264C	YNL154C
YGL021W	YLL015W
YGL021W	YLR133W
YGL021W	YNR070W
YOL130W	YIL009W
YOL130W	YGL025C
YOL130W	YGL024W
YOL130W	YNL086W
YBR211C	YDR394W
YGL156W	YOL082W
YOR249C	YLR102C
YOR249C	YKL022C
YOR249C	YFR036W
YLR102C	YKL022C
YLR102C	YNL176C
YKL157W	YPR168W
YMR159C	YPL149W
YMR159C	YMR048W
YMR159C	YLR288C
YMR159C	YOR098C
YMR159C	YDR510W
YMR159C	YOR212W
YMR159C	YML064C
YMR159C	YFL068W
YHR171W	YBL078C
YHR171W	YOR191W
YHR171W	YMR183C
YHR171W	YNL212W
YJR005W	YJR058C
YJR005W	YPL248C
YKL135C	YPL259C
YKL135C	YGL206C
YKL135C	YBL025W
YPL259C	YNL132W
YPL259C	YLR328W
YPL259C	YHR027C
YJR058C	YJR091C
YBR043C	YGR157W
YBR043C	YJL155C
YPR192W	YFL062W
YPR192W	YGR295C
YPR192W	YGR060W
YPR192W	YPL189W
YIL062C	YLR370C
YIL062C	YKL013C
YIL062C	YBR234C
YIL062C	YJR065C
YLR370C	YKL013C
YLR370C	YBR234C
YLR370C	YJR065C
YLR370C	YJR091C
YKL013C	YBR234C
YKL013C	YJR065C
YKL013C	YKL129C
YKL013C	YMR109W
YBR234C	YJR065C
YBR234C	YKL129C
YBR234C	YMR109W
YBR234C	YML069W
YBR234C	YLR453C
YBR234C	YLR241W
YNR019W	YJR117W
YHR018C	YGL137W
YDR380W	YOR382W
YJR065C	YOR181W
YJR065C	YMR109W
YJR065C	YNR053C
YJR065C	YPR086W
YLR085C	YDL237W
YOR141C	YDL002C
YPR201W	YGR174C
YPR201W	YDR039C
YPR201W	YPR079W
YPR201W	YLR171W
YNL008C	YJR091C
YNL008C	YNL260C
YKL052C	YDR016C
YKL052C	YLR288C
YKL052C	YMR077C
YDR321W	YML064C
YDR321W	YGL095C
YLR155C	YER175C
YPR093C	YNL135C
YPR093C	YLR368W
YPR093C	YOL005C
YPR093C	YDL140C
YPR093C	YDR131C
YER101C	YBL050W
YOR377W	YGL127C
YOR377W	YHR178W
YPR049C	YGL180W
YPR049C	YGR113W
YPR185W	YGL180W
YPR185W	YGR253C
YPR185W	YEL013W
YPR185W	YNL086W
YBR128C	YPL120W
YFR021W	YNL242W
YFR021W	YNR058W
YFR021W	YGL190C
YFR021W	YLR094C
YFR021W	YDR034C
YFR021W	YER162C
YFR021W	YBL103C
YFR021W	YHR103W
YDL113C	YLR191W
YDL113C	YBL025W
YDL113C	YJL036W
YDL113C	YLR424W
YLR189C	YGR220C
YNL223W	YBL078C
YNL223W	YAR019C
YNL223W	YML085C
YNL223W	YFL037W
YML081C-A	YPR020W
YML081C-A	YJR121W
YML081C-A	YKL016C
YPR020W	YJR121W
YPR020W	YER048C
YPR020W	YKL130C
YPR020W	YPR086W
YJR121W	YBR039W
YJR121W	YPL078C
YJR121W	YDR298C
YJR121W	YKL016C
YJR121W	YDL181W
YJR121W	Q0130
YJR121W	YLR453C
YJR121W	YDR322C-A
YBR039W	YGL237C
YBR039W	YDL059C
YBR039W	YJR068W
YBR039W	YDR523C
YBR039W	YMR106C
YBR039W	YOL087C
YPL078C	YER100W
YPL078C	YMR284W
YDR298C	YKL016C
YCL038C	YHR178W
YBL078C	YOR100C
YBL078C	YLR093C
YIL124W	YGL137W
YBR068C	YBL089W
YLR399C	YDR410C
YLR399C	YOR338W
YNL039W	YOL115W
YNL039W	YGL250W
YBR200W	YLR229C
YBR200W	YJL157C
YBR200W	YOR181W
YBR200W	YEL043W
YOR198C	YLR453C
YCL029C	YPL124W
YCL029C	YML085C
YNR058W	YJR035W
YNR056C	YDR456W
YJL058C	YBR260C
YJL058C	YML064C
