YAL001C	YPL007C
YAL002W	YPL045W
YAL003W	YGR285C
YAL003W	YHR064C
YAL003W	YKL081W
YAL003W	YLR249W
YAL003W	YPL048W
YAL007C	YGL200C
YAL013W	YDL076C
YAL013W	YMR263W
YAL013W	YNL097C
YAL013W	YNL330C
YAL013W	YOL004W
YAL013W	YPL139C
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YML109W
YAL016W	YMR273C
YAL016W	YOR014W
YAL029C	YBR109C
YAL029C	YBR130C
YAL029C	YGL106W
YAL029C	YKL130C
YAL029C	YOR326W
YAL033W	YBR167C
YAL033W	YGR030C
YAL033W	YNL221C
YAL034C	YER110C
YAL035W	YDL082W
YAL035W	YDR429C
YAL035W	YFR031C-A
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YMR146C
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPL198W
YAL035W	YPR041W
YAL043C	YKL018W
YAL043C	YKL059C
YAL047C	YHR172W
YAL047C	YNL126W
YAL053W	YOR153W
YAR003W	YBR258C
YAR003W	YDR469W
YAR003W	YKL018W
YAR003W	YPL138C
YAR007C	YML032C
YAR007C	YNL312W
YAR007C	YOL090W
YBL007C	YOR181W
YBL027W	YBL092W
YBL027W	YBR191W
YBL027W	YCR031C
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDL083C
YBL027W	YDR471W
YBL027W	YFR031C-A
YBL027W	YGL031C
YBL027W	YGR085C
YBL027W	YHL033C
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR075W
YBL027W	YLR150W
YBL027W	YLR448W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR242C
YBL027W	YNL069C
YBL027W	YNL301C
YBL027W	YOR063W
YBL027W	YOR096W
YBL027W	YPL090C
YBL027W	YPL249C-A
YBL035C	YKL045W
YBL035C	YNL102W
YBL038W	YCR046C
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YDR296W
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YJL063C
YBL038W	YKR085C
YBL038W	YLR439W
YBL038W	YML025C
YBL038W	YNL252C
YBL038W	YNL284C
YBL038W	YOR150W
YBL074C	YBR055C
YBL074C	YER029C
YBL074C	YER172C
YBL074C	YGR074W
YBL074C	YHR165C
YBL074C	YOR308C
YBL079W	YMR153W
YBL092W	YBR191W
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDL083C
YBL092W	YDR471W
YBL092W	YFR031C-A
YBL092W	YGL031C
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YKL180W
YBL092W	YLR029C
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YNL069C
YBL092W	YNL301C
YBL092W	YOR063W
YBL092W	YOR096W
YBL093C	YBR253W
YBL093C	YGL151W
YBL093C	YHR058C
YBL093C	YNL236W
YBL093C	YNR010W
YBL093C	YOL051W
YBL093C	YOL135C
YBL093C	YOR174W
YBL093C	YPR168W
YBL103C	YOL067C
YBR017C	YEL022W
YBR017C	YER110C
YBR017C	YGL122C
YBR052C	YCR004C
YBR055C	YBR152W
YBR055C	YDL030W
YBR055C	YDL098C
YBR055C	YER029C
YBR055C	YER146W
YBR055C	YER172C
YBR055C	YGR074W
YBR055C	YGR075C
YBR055C	YGR091W
YBR055C	YHR165C
YBR055C	YLL036C
YBR055C	YLR424W
YBR055C	YML046W
YBR055C	YML049C
YBR055C	YMR240C
YBR055C	YMR268C
YBR055C	YNL147W
YBR055C	YOR159C
YBR055C	YOR308C
YBR055C	YPL213W
YBR055C	YPR082C
YBR065C	YER172C
YBR065C	YHR165C
YBR065C	YLL036C
YBR065C	YPR101W
YBR072W	YBR127C
YBR072W	YNL064C
YBR081C	YCL010C
YBR081C	YDR145W
YBR081C	YDR167W
YBR081C	YDR176W
YBR081C	YDR392W
YBR081C	YDR448W
YBR081C	YGL112C
YBR081C	YGR274C
YBR081C	YHR099W
YBR081C	YMR236W
YBR081C	YPL011C
YBR084W	YDR471W
YBR084W	YFR031C-A
YBR084W	YHR010W
YBR084W	YLR075W
YBR084W	YLR340W
YBR084W	YOR063W
YBR087W	YNL290W
YBR087W	YOR217W
YBR097W	YLR360W
YBR097W	YPL120W
YBR102C	YJL085W
YBR102C	YLR166C
YBR102C	YPR055W
YBR103W	YCR033W
YBR103W	YDR155C
YBR103W	YIL112W
YBR103W	YOL068C
YBR105C	YDL082W
YBR105C	YIL017C
YBR105C	YIL097W
YBR105C	YMR135C
YBR109C	YBR130C
YBR109C	YGL106W
YBR109C	YGL242C
YBR109C	YLL040C
YBR109C	YLR429W
YBR109C	YMR109W
YBR109C	YOR326W
YBR109C	YPR171W
YBR119W	YDL087C
YBR119W	YDR235W
YBR119W	YDR240C
YBR119W	YER029C
YBR119W	YGR074W
YBR119W	YIL061C
YBR119W	YLR298C
YBR119W	YML046W
YBR119W	YOR159C
YBR125C	YDR186C
YBR127C	YEL051W
YBR127C	YKL080W
YBR130C	YGL106W
YBR130C	YKL130C
YBR136W	YNL312W
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YJR145C
YBR142W	YLL008W
YBR142W	YLL045C
YBR142W	YLR029C
YBR142W	YML073C
YBR142W	YNL002C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YOR063W
YBR142W	YPL043W
YBR142W	YPL131W
YBR142W	YPL198W
YBR142W	YPL249C-A
YBR143C	YPL237W
YBR146W	YBR251W
YBR146W	YDR036C
YBR146W	YDR041W
YBR146W	YDR175C
YBR146W	YDR347W
YBR146W	YGL129C
YBR146W	YGR084C
YBR146W	YJR101W
YBR146W	YKL155C
YBR146W	YMR158W
YBR146W	YMR188C
YBR146W	YPL013C
YBR146W	YPL118W
YBR152W	YDL098C
YBR152W	YER029C
YBR152W	YGR075C
YBR152W	YGR091W
YBR152W	YOR308C
YBR167C	YNL221C
YBR171W	YLR292C
YBR171W	YPL094C
YBR191W	YCR031C
YBR191W	YDL075W
YBR191W	YDL082W
YBR191W	YDL083C
YBR191W	YDR471W
YBR191W	YFR031C-A
YBR191W	YGR085C
YBR191W	YHL033C
YBR191W	YKL180W
YBR191W	YLR448W
YBR191W	YML073C
YBR191W	YMR242C
YBR191W	YNL069C
YBR191W	YOR063W
YBR195C	YPR018W
YBR196C	YLR044C
YBR196C	YLR249W
YBR196C	YOL086C
YBR225W	YGL197W
YBR225W	YLR310C
YBR231C	YDR334W
YBR231C	YDR485C
YBR231C	YGR002C
YBR231C	YJL081C
YBR247C	YDL148C
YBR247C	YDR449C
YBR247C	YHR148W
YBR247C	YJR002W
YBR247C	YJR145C
YBR247C	YKL143W
YBR247C	YMR128W
YBR247C	YNL132W
YBR247C	YOR096W
YBR247C	YPL012W
YBR247C	YPL217C
YBR247C	YPL266W
YBR247C	YPR144C
YBR251W	YDR041W
YBR251W	YDR175C
YBR251W	YDR347W
YBR251W	YGL129C
YBR251W	YGR084C
YBR251W	YJR101W
YBR251W	YKL155C
YBR251W	YMR158W
YBR251W	YMR188C
YBR251W	YPL013C
YBR251W	YPL118W
YBR253W	YCR081W
YBR253W	YDR448W
YBR253W	YGL151W
YBR253W	YHR058C
YBR253W	YNL236W
YBR253W	YNR010W
YBR253W	YOL051W
YBR253W	YOL135C
YBR253W	YOR174W
YBR253W	YPR168W
YBR254C	YDR108W
YBR254C	YDR246W
YBR254C	YDR407C
YBR254C	YDR472W
YBR254C	YGR166W
YBR254C	YKR068C
YBR254C	YMR218C
YBR254C	YOR115C
YBR258C	YDR469W
YBR258C	YKL018W
YBR258C	YPL138C
YBR282W	YCR046C
YBR282W	YDR116C
YBR282W	YDR237W
YBR282W	YDR296W
YBR282W	YDR322W
YBR282W	YLR439W
YBR282W	YNL252C
YBR288C	YGR261C
YBR288C	YPL195W
YCL010C	YDR145W
YCL010C	YDR167W
YCL010C	YDR176W
YCL010C	YDR392W
YCL010C	YDR448W
YCL010C	YGL112C
YCL010C	YHR099W
YCL010C	YMR236W
YCL031C	YGR090W
YCL043C	YHR204W
YCR002C	YHR107C
YCR002C	YJR076C
YCR002C	YJR092W
YCR009C	YCR088W
YCR009C	YDR388W
YCR009C	YLR429W
YCR020C-A	YPR051W
YCR028C-A	YML032C
YCR028C-A	YNL312W
YCR031C	YDL075W
YCR031C	YDL082W
YCR031C	YDL083C
YCR031C	YDL148C
YCR031C	YDR471W
YCR031C	YFR031C-A
YCR031C	YGL031C
YCR031C	YGL076C
YCR031C	YGR085C
YCR031C	YHL015W
YCR031C	YHL033C
YCR031C	YJL190C
YCR031C	YKL180W
YCR031C	YLL045C
YCR031C	YLR029C
YCR031C	YLR075W
YCR031C	YLR150W
YCR031C	YLR340W
YCR031C	YLR448W
YCR031C	YML063W
YCR031C	YML073C
YCR031C	YMR242C
YCR031C	YNL069C
YCR031C	YNL132W
YCR031C	YNL301C
YCR031C	YNL302C
YCR031C	YOR063W
YCR031C	YOR096W
YCR031C	YOR234C
YCR031C	YPL090C
YCR031C	YPL249C-A
YCR033W	YDR155C
YCR033W	YIL112W
YCR046C	YDR116C
YCR046C	YDR237W
YCR046C	YDR296W
YCR046C	YDR322W
YCR046C	YDR462W
YCR046C	YHR147C
YCR046C	YJL063C
YCR046C	YKR085C
YCR046C	YLR439W
YCR046C	YML025C
YCR046C	YNL177C
YCR046C	YNL252C
YCR046C	YOR150W
YCR072C	YER126C
YCR072C	YKL009W
YCR072C	YLR074C
YCR072C	YLR325C
YCR072C	YNL182C
YCR072C	YNR053C
YCR076C	YER094C
YCR081W	YGL151W
YCR081W	YHR058C
YCR081W	YNL236W
YCR081W	YNR010W
YCR081W	YOL051W
YCR081W	YOL135C
YCR081W	YOR174W
YCR081W	YPR168W
YCR088W	YLR429W
YDL003W	YJL074C
YDL013W	YDR320C
YDL013W	YKL145W
YDL013W	YLR421C
YDL029W	YIL062C
YDL029W	YNR035C
YDL030W	YDL098C
YDL030W	YDR416W
YDL030W	YER029C
YDL030W	YER172C
YDL030W	YGR074W
YDL030W	YGR091W
YDL030W	YHR165C
YDL030W	YLL036C
YDL030W	YLR424W
YDL030W	YML046W
YDL030W	YML049C
YDL030W	YMR240C
YDL030W	YOR308C
YDL030W	YPL213W
YDL030W	YPR082C
YDL030W	YPR101W
YDL040C	YHR013C
YDL040C	YPL198W
YDL042C	YDR227W
YDL045W-A	YDR175C
YDL055C	YNL149C
YDL075W	YDL082W
YDL075W	YDL083C
YDL075W	YDR471W
YDL075W	YFR031C-A
YDL075W	YGL076C
YDL075W	YGR085C
YDL075W	YJL190C
YDL075W	YKL180W
YDL075W	YLL045C
YDL075W	YLR029C
YDL075W	YLR075W
YDL075W	YLR340W
YDL075W	YLR448W
YDL075W	YML063W
YDL075W	YML073C
YDL075W	YMR242C
YDL075W	YNL002C
YDL075W	YNL069C
YDL075W	YNL110C
YDL075W	YNL301C
YDL075W	YOR063W
YDL075W	YOR096W
YDL075W	YOR234C
YDL075W	YPL012W
YDL075W	YPL090C
YDL075W	YPL131W
YDL075W	YPL198W
YDL075W	YPL220W
YDL075W	YPL249C-A
YDL075W	YPR067W
YDL076C	YMR263W
YDL076C	YNL097C
YDL076C	YNL330C
YDL076C	YOL004W
YDL076C	YPL139C
YDL077C	YPL045W
YDL082W	YDL083C
YDL082W	YDR471W
YDL082W	YEL054C
YDL082W	YFR031C-A
YDL082W	YGL031C
YDL082W	YGL076C
YDL082W	YGR085C
YDL082W	YHL033C
YDL082W	YHR010W
YDL082W	YHR216W
YDL082W	YJL190C
YDL082W	YJR145C
YDL082W	YKL180W
YDL082W	YLL045C
YDL082W	YLR029C
YDL082W	YLR075W
YDL082W	YLR340W
YDL082W	YLR448W
YDL082W	YML063W
YDL082W	YML073C
YDL082W	YMR242C
YDL082W	YNL069C
YDL082W	YNL110C
YDL082W	YNL301C
YDL082W	YOL041C
YDL082W	YOR063W
YDL082W	YOR096W
YDL082W	YOR234C
YDL082W	YPL090C
YDL082W	YPL198W
YDL082W	YPL220W
YDL082W	YPL249C-A
YDL083C	YDR471W
YDL083C	YEL026W
YDL083C	YFR031C-A
YDL083C	YGL031C
YDL083C	YGL076C
YDL083C	YGR027C
YDL083C	YGR085C
YDL083C	YGR118W
YDL083C	YHL015W
YDL083C	YHL033C
YDL083C	YJL190C
YDL083C	YJR145C
YDL083C	YKL180W
YDL083C	YLL045C
YDL083C	YLR029C
YDL083C	YLR075W
YDL083C	YLR340W
YDL083C	YLR448W
YDL083C	YML063W
YDL083C	YML073C
YDL083C	YMR242C
YDL083C	YNL069C
YDL083C	YNL301C
YDL083C	YOR063W
YDL083C	YOR096W
YDL083C	YPL131W
YDL083C	YPL249C-A
YDL084W	YDR381W
YDL084W	YML062C
YDL087C	YDR235W
YDL087C	YDR240C
YDL087C	YER029C
YDL087C	YGR074W
YDL087C	YHR165C
YDL087C	YIL061C
YDL087C	YLR298C
YDL087C	YML046W
YDL087C	YML049C
YDL090C	YKL019W
YDL092W	YKL122C
YDL092W	YML105C
YDL097C	YDR363W-A
YDL097C	YDR394W
YDL097C	YER021W
YDL097C	YFR010W
YDL097C	YFR052W
YDL097C	YHL030W
YDL097C	YHR200W
YDL097C	YIL075C
YDL097C	YKL145W
YDL097C	YLR421C
YDL097C	YOR117W
YDL097C	YOR261C
YDL097C	YPR108W
YDL098C	YER029C
YDL098C	YER172C
YDL098C	YGR074W
YDL098C	YGR075C
YDL098C	YGR091W
YDL098C	YHR165C
YDL098C	YML049C
YDL098C	YMR240C
YDL098C	YMR268C
YDL098C	YNL147W
YDL098C	YOR308C
YDL098C	YPL213W
YDL098C	YPR082C
YDL134C	YDL188C
YDL134C	YML109W
YDL134C	YMR273C
YDL148C	YDR449C
YDL148C	YER082C
YDL148C	YGR090W
YDL148C	YGR128C
YDL148C	YHR148W
YDL148C	YJR002W
YDL148C	YJR145C
YDL148C	YKR060W
YDL148C	YLL011W
YDL148C	YLR129W
YDL148C	YLR197W
YDL148C	YMR128W
YDL148C	YNL132W
YDL148C	YNL308C
YDL148C	YOR096W
YDL148C	YPL012W
YDL148C	YPL217C
YDL148C	YPR144C
YDL188C	YML109W
YDL188C	YMR273C
YDL188C	YOR014W
YDL195W	YLR208W
YDL216C	YDR179C
YDL216C	YIL071C
YDL216C	YMR025W
YDR022C	YLR423C
YDR028C	YER177W
YDR028C	YGL115W
YDR036C	YDR041W
YDR036C	YDR175C
YDR036C	YDR347W
YDR036C	YGL129C
YDR036C	YGR084C
YDR036C	YJR101W
YDR036C	YKL155C
YDR036C	YMR188C
YDR036C	YPL118W
YDR041W	YDR175C
YDR041W	YDR347W
YDR041W	YGL129C
YDR041W	YGR084C
YDR041W	YJR101W
YDR041W	YKL155C
YDR041W	YMR158W
YDR041W	YMR188C
YDR041W	YPL013C
YDR041W	YPL118W
YDR045C	YJL011C
YDR045C	YKL144C
YDR045C	YKR025W
YDR045C	YOR207C
YDR050C	YOL086C
YDR062W	YMR296C
YDR073W	YHL025W
YDR073W	YOR290C
YDR074W	YML100W
YDR074W	YMR261C
YDR075W	YNL201C
YDR092W	YGL087C
YDR097C	YOL090W
YDR099W	YER177W
YDR108W	YDR246W
YDR108W	YDR407C
YDR108W	YDR472W
YDR108W	YKR068C
YDR108W	YMR218C
YDR108W	YOR115C
YDR116C	YDR237W
YDR116C	YDR296W
YDR116C	YDR322W
YDR116C	YDR405W
YDR116C	YDR462W
YDR116C	YHR147C
YDR116C	YJL063C
YDR116C	YKR085C
YDR116C	YLR439W
YDR116C	YML025C
YDR116C	YNL252C
YDR116C	YOR150W
YDR121W	YGL133W
YDR121W	YJL065C
YDR121W	YOR304W
YDR121W	YPR175W
YDR145W	YDR167W
YDR145W	YDR176W
YDR145W	YDR392W
YDR145W	YDR448W
YDR145W	YER148W
YDR145W	YGL112C
YDR145W	YGR274C
YDR145W	YHR099W
YDR145W	YML098W
YDR145W	YMR236W
YDR145W	YPL011C
YDR148C	YIL125W
YDR155C	YIL112W
YDR159W	YOL072W
YDR167W	YDR176W
YDR167W	YDR392W
YDR167W	YDR448W
YDR167W	YGL112C
YDR167W	YGR274C
YDR167W	YML098W
YDR167W	YMR236W
YDR167W	YPL011C
YDR175C	YDR347W
YDR175C	YGL129C
YDR175C	YGR084C
YDR175C	YJR101W
YDR175C	YKL155C
YDR175C	YMR158W
YDR175C	YMR188C
YDR175C	YPL013C
YDR175C	YPL118W
YDR176W	YDR392W
YDR176W	YDR448W
YDR176W	YGL112C
YDR176W	YGR274C
YDR176W	YHR099W
YDR176W	YMR236W
YDR176W	YPL011C
YDR176W	YPL047W
YDR179C	YIL071C
YDR179C	YMR025W
YDR188W	YFR009W
YDR188W	YIL142W
YDR188W	YJL111W
YDR188W	YKL029C
YDR188W	YOR281C
YDR201W	YGR113W
YDR201W	YKL052C
YDR201W	YKR037C
YDR224C	YGL133W
YDR224C	YGL241W
YDR224C	YLR357W
YDR224C	YOR304W
YDR225W	YLR357W
YDR228C	YGL044C
YDR228C	YHR216W
YDR228C	YOR250C
YDR235W	YDR240C
YDR235W	YER029C
YDR235W	YGR074W
YDR235W	YIL061C
YDR235W	YLR298C
YDR235W	YML046W
YDR235W	YML049C
YDR237W	YDR296W
YDR237W	YDR322W
YDR237W	YDR405W
YDR237W	YDR462W
YDR237W	YHR147C
YDR237W	YJL063C
YDR237W	YKR085C
YDR237W	YLR439W
YDR237W	YML025C
YDR237W	YNL252C
YDR237W	YNL284C
YDR237W	YOR150W
YDR240C	YER029C
YDR240C	YGR074W
YDR240C	YHR165C
YDR240C	YIL061C
YDR240C	YLR298C
YDR240C	YML046W
YDR245W	YGR132C
YDR245W	YLR342W
YDR246W	YDR407C
YDR246W	YDR472W
YDR246W	YGR166W
YDR246W	YKR068C
YDR246W	YMR218C
YDR246W	YOR115C
YDR279W	YNL072W
YDR280W	YGR095C
YDR280W	YHR081W
YDR280W	YNL189W
YDR280W	YNL232W
YDR280W	YOR076C
YDR296W	YDR322W
YDR296W	YDR405W
YDR296W	YDR462W
YDR296W	YHR147C
YDR296W	YJL063C
YDR296W	YKR085C
YDR296W	YLR439W
YDR296W	YML025C
YDR296W	YNL177C
YDR296W	YNL252C
YDR296W	YOR150W
YDR322W	YDR405W
YDR322W	YDR462W
YDR322W	YHR147C
YDR322W	YJL063C
YDR322W	YKR085C
YDR322W	YLR439W
YDR322W	YML025C
YDR322W	YNL252C
YDR322W	YNL284C
YDR322W	YOR150W
YDR334W	YDR485C
YDR334W	YGR002C
YDR334W	YJL081C
YDR347W	YGL129C
YDR347W	YGR084C
YDR347W	YJR101W
YDR347W	YKL155C
YDR347W	YMR158W
YDR347W	YMR188C
YDR347W	YPL013C
YDR347W	YPL118W
YDR353W	YHR106W
YDR363W-A	YDR394W
YDR363W-A	YER021W
YDR363W-A	YFR010W
YDR363W-A	YFR052W
YDR363W-A	YHR200W
YDR363W-A	YIL075C
YDR363W-A	YKL145W
YDR363W-A	YLR421C
YDR363W-A	YOR117W
YDR363W-A	YOR261C
YDR363W-A	YPR108W
YDR364C	YDR416W
YDR364C	YER172C
YDR364C	YGR278W
YDR364C	YLL036C
YDR364C	YPR101W
YDR369C	YMR224C
YDR381W	YLR249W
YDR381W	YML062C
YDR383C	YGR179C
YDR383C	YLR315W
YDR383C	YPL018W
YDR388W	YPL249C
YDR390C	YPR180W
YDR392W	YDR448W
YDR392W	YGL112C
YDR392W	YHR099W
YDR392W	YMR236W
YDR394W	YER021W
YDR394W	YFR010W
YDR394W	YFR052W
YDR394W	YHL030W
YDR394W	YHR200W
YDR394W	YIL075C
YDR394W	YKL145W
YDR394W	YLR421C
YDR394W	YMR314W
YDR394W	YOL038W
YDR394W	YOR117W
YDR394W	YOR261C
YDR394W	YPR108W
YDR405W	YGR076C
YDR405W	YLR439W
YDR405W	YML025C
YDR407C	YDR472W
YDR407C	YGR166W
YDR407C	YKR068C
YDR407C	YMR218C
YDR407C	YOR115C
YDR415C	YKL210W
YDR416W	YER172C
YDR416W	YGR278W
YDR416W	YHR165C
YDR416W	YLL036C
YDR416W	YLR424W
YDR416W	YML049C
YDR416W	YMR213W
YDR416W	YPL213W
YDR416W	YPR101W
YDR422C	YER129W
YDR422C	YGL115W
YDR429C	YMR146C
YDR429C	YOR361C
YDR429C	YPR041W
