YAL002W	YLR396C
YAL007C	YAR002C-A
YAL007C	YML012W
YAL011W	YDR334W
YAL011W	YDR485C
YAL011W	YPL235W
YAL016W	YDL188C
YAL016W	YGL190C
YAL016W	YML109W
YAL016W	YMR273C
YAL021C	YNL288W
YAL024C	YHR158C
YAL047C	YNL126W
YAL062W	YOR375C
YAR002C-A	YML012W
YAR014C	YER133W
YAR073W	YGR085C
YAR073W	YLR432W
YAR073W	YOR096W
YBL002W	YBL003C
YBL002W	YOL012C
YBL003C	YBR010W
YBL003C	YBR245C
YBL004W	YBR048W
YBL004W	YBR189W
YBL004W	YDL014W
YBL004W	YDL148C
YBL004W	YDL213C
YBL004W	YDR299W
YBL004W	YDR449C
YBL004W	YGR090W
YBL004W	YHR148W
YBL004W	YHR196W
YBL004W	YJR002W
YBL004W	YKR060W
YBL004W	YLR129W
YBL004W	YLR197W
YBL004W	YLR367W
YBL004W	YMR093W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOL010W
YBL004W	YOR096W
YBL004W	YPL043W
YBL004W	YPL126W
YBL014C	YCL048W
YBL014C	YCR024C
YBL018C	YBR257W
YBL018C	YGR030C
YBL018C	YHR062C
YBL018C	YNL282W
YBL021C	YGL237C
YBL021C	YOR358W
YBL027W	YBR031W
YBL027W	YBR048W
YBL027W	YBR191W
YBL027W	YCR031C
YBL027W	YDR471W
YBL027W	YER074W
YBL027W	YGL014W
YBL027W	YGL103W
YBL027W	YGL123W
YBL027W	YGL147C
YBL027W	YGR085C
YBL027W	YHL001W
YBL027W	YHL033C
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR075W
YBL027W	YLR287C-A
YBL027W	YLR344W
YBL027W	YLR448W
YBL027W	YMR194W
YBL027W	YNL069C
YBL027W	YNL096C
YBL027W	YNL301C
YBL027W	YOR096W
YBL027W	YPL090C
YBL038W	YBR122C
YBL038W	YCR046C
YBL038W	YDR116C
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKL167C
YBL038W	YKR085C
YBL038W	YML025C
YBL038W	YNL005C
YBL038W	YOR150W
YBL041W	YER012W
YBL041W	YGR253C
YBL041W	YJL001W
YBL041W	YML092C
YBL041W	YOL038W
YBL041W	YOR157C
YBL084C	YKL022C
YBL084C	YOR249C
YBL090W	YBR146W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR041W
YBL090W	YDR337W
YBL090W	YDR347W
YBL090W	YGL129C
YBL090W	YGR084C
YBL090W	YGR165W
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YIL093C
YBL090W	YMR158W
YBL090W	YMR188C
YBL090W	YNL306W
YBL090W	YOR158W
YBL090W	YPL118W
YBL093C	YHR058C
YBL093C	YLR071C
YBL093C	YNL236W
YBL093C	YOL135C
YBL093C	YPL042C
YBR010W	YLL022C
YBR011C	YLR371W
YBR011C	YPL066W
YBR017C	YEL022W
YBR017C	YER110C
YBR025C	YJR121W
YBR025C	YKL081W
YBR031W	YBR048W
YBR031W	YBR189W
YBR031W	YBR191W
YBR031W	YCR031C
YBR031W	YDR471W
YBR031W	YER074W
YBR031W	YGL103W
YBR031W	YGL147C
YBR031W	YGR085C
YBR031W	YHL001W
YBR031W	YHL033C
YBR031W	YIL133C
YBR031W	YJL177W
YBR031W	YJL190C
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YKR081C
YBR031W	YLL045C
YBR031W	YLR029C
YBR031W	YLR075W
YBR031W	YLR287C-A
YBR031W	YLR448W
YBR031W	YMR194W
YBR031W	YNL069C
YBR031W	YNL096C
YBR031W	YNL132W
YBR031W	YNL301C
YBR031W	YOL077C
YBR031W	YOR096W
YBR031W	YPL090C
YBR031W	YPL220W
YBR048W	YBR189W
YBR048W	YCL011C
YBR048W	YCR031C
YBR048W	YDL014W
YBR048W	YDL060W
YBR048W	YDL148C
YBR048W	YDR299W
YBR048W	YDR471W
YBR048W	YER074W
YBR048W	YGR085C
YBR048W	YGR090W
YBR048W	YHL001W
YBR048W	YHL033C
YBR048W	YIL133C
YBR048W	YJL177W
YBR048W	YJL190C
YBR048W	YJR145C
YBR048W	YKL180W
YBR048W	YLL045C
YBR048W	YLR029C
YBR048W	YLR075W
YBR048W	YLR287C-A
YBR048W	YLR367W
YBR048W	YLR448W
YBR048W	YMR194W
YBR048W	YMR229C
YBR048W	YNL069C
YBR048W	YNL096C
YBR048W	YNL132W
YBR048W	YOR096W
YBR048W	YPL090C
YBR060C	YHR118C
YBR060C	YNL261W
YBR072W	YBR127C
YBR072W	YNL064C
YBR087W	YOL094C
YBR087W	YOR144C
YBR095C	YDL076C
YBR095C	YMR075W
YBR095C	YNL097C
YBR095C	YPR023C
YBR097W	YPL120W
YBR103W	YOL068C
YBR105C	YIL097W
YBR105C	YMR135C
YBR107C	YJR135C
YBR122C	YCR046C
YBR122C	YDR116C
YBR122C	YDR405W
YBR122C	YGR220C
YBR122C	YHR147C
YBR122C	YJL063C
YBR122C	YKL167C
YBR122C	YKR085C
YBR122C	YML025C
YBR122C	YNL005C
YBR122C	YOR150W
YBR123C	YOR110W
YBR127C	YGR020C
YBR127C	YKL080W
YBR135W	YBR160W
YBR135W	YMR199W
YBR136W	YJL173C
YBR143C	YPL237W
YBR146W	YDR036C
YBR146W	YDR041W
YBR146W	YDR337W
YBR146W	YDR347W
YBR146W	YER050C
YBR146W	YGL129C
YBR146W	YGR084C
YBR146W	YGR165W
YBR146W	YGR215W
YBR146W	YHL004W
YBR146W	YIL093C
YBR146W	YKL003C
YBR146W	YMR158W
YBR146W	YMR188C
YBR146W	YNL081C
YBR146W	YNL306W
YBR146W	YOR158W
YBR146W	YPL118W
YBR152W	YER029C
YBR152W	YGR075C
YBR152W	YGR091W
YBR152W	YPR178W
YBR171W	YOR254C
YBR189W	YCL011C
YBR189W	YCL037C
YBR189W	YCR031C
YBR189W	YDL014W
YBR189W	YDL060W
YBR189W	YDL148C
YBR189W	YDR449C
YBR189W	YDR471W
YBR189W	YER074W
YBR189W	YGL103W
YBR189W	YGL147C
YBR189W	YGL173C
YBR189W	YGR081C
YBR189W	YGR085C
