# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	7/7	311/6920	3.4702967812018544e-10	11	7	1.350946233210577e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0045893	BP	e	positive regulation of DNA-templated transcription	7/7	355/6920	8.837415393876431e-10	10	7	1.350946233210577e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	7/7	355/6920	8.837415393876431e-10	9	7	1.350946233210577e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0051254	BP	e	positive regulation of RNA metabolic process	7/7	391/6920	1.7472594091634115e-09	8	7	2.0032329126058514e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	7/7	417/6920	2.7513295354371525e-09	7	7	2.3257823029928185e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	7/7	423/6920	3.04289006060988e-09	7	7	2.3257823029928185e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0009891	BP	e	positive regulation of biosynthetic process	7/7	439/6920	3.953203189927337e-09	6	7	2.5899128327152523e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	7/7	487/6920	8.212346657549323e-09	10	7	4.7077277214401496e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0010604	BP	e	positive regulation of macromolecule metabolic process	7/7	500/6920	9.886573585022369e-09	6	7	5.037758495656954e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0006338	BP	e	chromatin remodeling	6/7	259/6920	1.762096773935784e-08	5	6	7.46409475721588e-06	ARP9, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0009893	BP	e	positive regulation of metabolic process	7/7	544/6920	1.7903410887347292e-08	5	7	7.46409475721588e-06	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:2001141	BP	e	regulation of RNA biosynthetic process	7/7	581/6920	2.8448041097779175e-08	8	7	1.0035593574955023e-05	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0006355	BP	e	regulation of DNA-templated transcription	7/7	581/6920	2.8448041097779175e-08	9	7	1.0035593574955023e-05	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0051252	BP	e	regulation of RNA metabolic process	7/7	638/6920	5.495113859684039e-08	7	7	1.8000422971793573e-05	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0006325	BP	e	chromatin organization	6/7	324/6920	6.776170757103762e-08	4	6	2.0717012728051897e-05	ARP9, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0048522	BP	e	positive regulation of cellular process	7/7	717/6920	1.2486802799996456e-07	4	7	3.579029852548984e-05	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	7/7	725/6920	1.3499709297157029e-07	6	7	3.641745108044832e-05	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0048518	BP	e	positive regulation of biological process	7/7	740/6920	1.5589669866277154e-07	3	7	3.9719014448192795e-05	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0010468	BP	e	regulation of gene expression	7/7	953/6920	9.217946800353816e-07	7	7	0.00022249212645485578	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	7/7	982/6920	1.1377535418934822e-06	6	7	0.0002608868871561755	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0080090	BP	e	regulation of primary metabolic process	7/7	1011/6920	1.3957043693184053e-06	5	7	0.00030479524941400986	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0009889	BP	e	regulation of biosynthetic process	7/7	1020/6920	1.4853078940111351e-06	5	7	0.0003096191819061393	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0060255	BP	e	regulation of macromolecule metabolic process	7/7	1107/6920	2.638482527324334e-06	5	7	0.0005260904726221477	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0019222	BP	e	regulation of metabolic process	7/7	1196/6920	4.5399861817683295e-06	4	7	0.0008675156928995649	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0031496	BP	e	positive regulation of mating type switching	2/7	5/6920	8.759350590282947e-06	5	2	0.001606815272281504	SWI1, SWI3
GO:0031494	BP	e	regulation of mating type switching	2/7	9/6920	3.147291682867497e-05	4	2	0.005551338329857824	SWI1, SWI3
GO:0050794	BP	e	regulation of cellular process	7/7	1728/6920	5.9992553832629054e-05	3	7	0.010189846365793957	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0050789	BP	e	regulation of biological process	7/7	1743/6920	6.374093460819174e-05	2	7	0.01043985450404169	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0051094	BP	e	positive regulation of developmental process	2/7	15/6920	9.153082285750749e-05	4	2	0.014474494952569977	SWI1, SWI3
GO:0065007	BP	e	biological regulation	7/7	1859/6920	0.00010014280122710084	1	7	0.01530849621424948	ARP9, SNF11, SNF12, SNF5, SNF6, SWI1, SWI3
GO:0034198	BP	e	cellular response to amino acid starvation	2/7	18/6920	0.0001331806560385477	5	2	0.019086452768524366	SNF12, SWI1
GO:1990928	BP	e	response to amino acid starvation	2/7	18/6920	0.0001331806560385477	4	2	0.019086452768524366	SNF12, SWI1
