# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005816	CC	e	spindle pole body	13/16	67/6920	1.0491653842794608e-24	3	13	9.914612881440904e-22	BBP1, CDC31, CMD1, CNM67, KAR1, NUD1, SPC110, SPC29, SPC42, SPC72, SPC97, SPC98, TUB4
GO:0005815	CC	e	microtubule organizing center	13/16	75/6920	5.218142975156456e-24	2	13	2.4655725557614256e-21	BBP1, CDC31, CMD1, CNM67, KAR1, NUD1, SPC110, SPC29, SPC42, SPC72, SPC97, SPC98, TUB4
GO:0005856	CC	e	cytoskeleton	13/16	188/6920	1.5150327113080364e-18	5	13	4.772353040620315e-16	BBP1, CDC31, CMD1, CNM67, KAR1, NUD1, SPC110, SPC29, SPC42, SPC72, SPC97, SPC98, TUB4
GO:0005824	CC	e	outer plaque of spindle pole body	6/16	7/6920	3.678925011682739e-16	2	6	8.691460340100471e-14	CNM67, NUD1, SPC72, SPC97, SPC98, TUB4
GO:0005823	CC	e	central plaque of spindle pole body	5/16	6/6920	1.98214897151806e-13	2	5	3.746261556169134e-11	BBP1, CMD1, SPC110, SPC29, SPC42
GO:0043228	CC	e	membraneless organelle	16/16	1210/6920	7.033144466522723e-13	3	16	9.494745029805676e-11	BBP1, CDC31, CMD1, CNM67, KAR1, NUD1, SPC105, SPC110, SPC24, SPC25, SPC29, SPC42, SPC72, SPC97, SPC98, TUB4
GO:0043232	CC	e	intracellular membraneless organelle	16/16	1210/6920	7.033144466522723e-13	4	16	9.494745029805676e-11	BBP1, CDC31, CMD1, CNM67, KAR1, NUD1, SPC105, SPC110, SPC24, SPC25, SPC29, SPC42, SPC72, SPC97, SPC98, TUB4
GO:0005822	CC	e	inner plaque of spindle pole body	4/16	4/6920	1.9064914909845883e-11	2	4	2.252043073725545e-09	SPC110, SPC97, SPC98, TUB4
GO:0008275	CC	e	gamma-tubulin small complex	3/16	3/6920	1.014400126395415e-08	3	3	8.714619267669702e-07	SPC97, SPC98, TUB4
GO:0061499	CC	e	outer plaque of mitotic spindle pole body	3/16	3/6920	1.014400126395415e-08	3	3	8.714619267669702e-07	CNM67, NUD1, SPC72
GO:0000930	CC	e	gamma-tubulin complex	3/16	3/6920	1.014400126395415e-08	2	3	8.714619267669702e-07	SPC97, SPC98, TUB4
GO:0099080	CC	e	supramolecular complex	8/16	275/6920	5.486154008338153e-08	2	8	4.320346281566295e-06	KAR1, SPC105, SPC24, SPC25, SPC72, SPC97, SPC98, TUB4
GO:0005874	CC	e	microtubule	5/16	69/6920	3.4142887318575533e-07	6	5	2.481925270465683e-05	KAR1, SPC72, SPC97, SPC98, TUB4
GO:0099513	CC	e	polymeric cytoskeletal fiber	5/16	78/6920	6.337046938691278e-07	5	5	4.277506683616613e-05	KAR1, SPC72, SPC97, SPC98, TUB4
GO:0099512	CC	e	supramolecular fiber	5/16	82/6920	8.146788737468256e-07	4	5	4.811697098067188e-05	KAR1, SPC72, SPC97, SPC98, TUB4
GO:0099081	CC	e	supramolecular polymer	5/16	82/6920	8.146788737468256e-07	3	5	4.811697098067188e-05	KAR1, SPC72, SPC97, SPC98, TUB4
GO:0005825	CC	e	half bridge of spindle pole body	2/16	4/6920	2.9994419789219436e-05	2	2	0.0015747070389340201	CDC31, KAR1
GO:0031262	CC	e	Ndc80 complex	2/16	4/6920	2.9994419789219436e-05	2	2	0.0015747070389340201	SPC24, SPC25
GO:0044732	CC	e	mitotic spindle pole body	2/16	14/6920	0.00044881745974211006	4	2	0.022322763129278632	CDC31, SPC97
GO:0005737	CC	e	cytoplasm	13/16	2615/6920	0.0004862539647389263	2	13	0.022975499833914267	BBP1, CDC31, CMD1, CNM67, KAR1, NUD1, SPC110, SPC29, SPC42, SPC72, SPC97, SPC98, TUB4
GO:0000776	CC	e	kinetochore	3/16	75/6920	0.0006187782153378653	5	3	0.027845019690203938	SPC105, SPC24, SPC25
GO:0000775	CC	e	chromosome, centromeric region	3/16	83/6920	0.0008325075035631966	3	3	0.03575998140305549	SPC105, SPC24, SPC25
